Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arsenal,29,53.5,38,669.2,63.8,209.7,299.6,164.2,23.9,669.1,14.1,7.79,55.3,6.29,44.7,408.7,2188.8,1186.3,19.9,13.1,5.13,13.4,6.84,471.7,46
Aston Villa,24,48.5,38,555.7,67.9,183.6,226.7,151.6,24.9,555.5,15.7,9.71,62,5.87,37.5,297.1,1588.9,807,16.6,12.2,5.95,15.2,8.87,337.7,36.9
Brighton,27,51.1,38,625.2,65.5,208.6,269.2,153.4,23.3,624.9,15.1,9.21,61.1,5.84,38.7,355,1938.2,989.7,18,12.3,3.45,14.4,8.05,411.4,39.3
Burnley,25,42.1,38,510.3,57.4,152.5,239,123.3,18.4,510.2,10.6,6.16,58.1,4.47,42.2,243.1,1220.7,551.2,10.2,8.95,1.97,13.2,7.32,283,26.4
Chelsea,27,60.9,38,786.6,65.8,233.7,366.2,192.3,26.8,786.3,17.3,9.45,54.6,7.84,45.4,461.1,2385.8,1270.8,23.6,17.4,6.39,15.4,7.53,575,47
Crystal Palace,24,40.6,38,521,57.7,182,228.9,116.1,17.2,520.9,17,9.61,56.6,7.37,43.4,269.1,1488,707.5,13.8,10.2,3.97,15.7,10.6,303.3,29.3
Everton,29,46.4,38,601.2,71.8,216.7,269.9,120.7,16.9,601.1,15.6,9.53,61.3,6.03,38.7,331.7,1858.2,956.2,15.9,11.7,2.76,14.5,9.05,387,31
Fulham,28,49.7,38,626.6,63.3,212.2,274.7,146.5,19.2,626.4,20.9,13.3,63.6,7.61,36.4,352.8,1954.7,983.7,19.1,13.8,4.11,19,10.3,402.4,35.2
Leeds United,23,57.3,38,654.6,72.4,238,272.2,149.9,23.2,654.4,14.8,8.37,56.5,6.45,43.5,370.2,2116.9,1180.7,21.3,12.9,4.16,17.6,8.39,425.1,42.8
Leicester City,27,54.3,38,667.5,59.7,208.5,315.7,149.3,20.3,667.2,17,9.42,55.5,7.55,44.5,368.2,1901.2,975.6,17.5,12.7,3.71,14.4,8.47,444.3,38.3
Liverpool,28,62.1,38,791.4,54.6,189.9,391.2,216.9,31.9,791.2,18.3,10.7,58.5,7.58,41.4,502.7,2532.1,1336.3,23.3,19.8,6.55,15.6,10.2,573.6,53.7
Manchester City,24,63.5,38,807.9,50.3,170.4,420,223.8,31.5,807.7,20.6,12.8,61.9,7.84,38.1,527.3,2800.6,1564.3,28.8,22.7,8.95,13.4,9.21,622.1,53.5
Manchester Utd,29,55.7,38,700.4,58.5,200.2,314.5,192.7,24.2,700.2,18.7,10.9,58.4,7.71,41.2,407.4,2339.1,1249.9,23.1,17.5,5.29,14.1,9.47,491.3,47.8
Newcastle Utd,27,38.8,38,494.1,66.4,188.6,207.7,103.7,14.5,493.9,15.4,9.21,59.6,6.24,40.4,252.8,1350.2,650.2,12.3,9.89,3,13.7,7.82,282.4,23.4
Sheffield Utd,27,41.7,38,535.6,60.9,168.6,226.3,145.7,16.2,535.4,12.5,7.08,56.6,5.45,43.6,267.8,1430.1,711.3,12.9,10.5,2.74,14.1,8.5,316.8,31.1
Southampton,29,52,38,621.2,60.6,197.3,304.4,125.2,18.4,621.1,15.8,9.03,57.1,6.79,42.9,329.9,1741.4,882.5,16.5,13.6,3.32,16.8,10.2,389.9,31.3
Tottenham,24,51.6,38,649.2,67.8,210.3,314.1,131.5,18.4,649.1,18.8,10.6,56.4,8.21,43.6,364.3,1922.6,978.5,16.7,13.3,4,13.7,8.79,431.7,34.6
West Brom,30,37.9,38,480.2,66.8,175.5,197.8,111.5,15.2,480.1,13.3,6.95,52.3,6.34,47.7,217.4,1178.5,566.5,11.6,7.45,2.71,16.1,8.24,254.4,26.8
West Ham,24,43.2,38,547.7,60.4,174.7,245.9,133.2,20,547.6,14.3,7.84,55,6.42,45,288.5,1664.3,800.5,17.3,12,4,12.9,8.37,331.8,33.3
Wolves,27,49.3,38,612.2,57.6,190.7,290,137,18.3,612.1,20.5,12.3,60.1,8.18,39.9,349.2,1915.3,1015,21.1,14.9,4.66,15.6,8.13,405.4,33.3
