Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
B-SAD,29,34,292.3,410.9,71.1,5556.4,2310.6,123.5,148.9,83,118.1,150.6,78.5,41.9,84.8,49.3,0.41,0.65,0.55,-0.24,6.38,25.9,4.91,1.79,30.2
Benfica,32,34,513.1,619.1,82.9,8960.2,3090,226.3,252.6,89.6,222.6,253.6,87.8,48.8,77.1,63.3,1.65,1.8,1.61,-0.16,11.6,45.1,11.7,3,56.8
Boavista,25,34,283.9,381.4,74.4,5354.4,2110.1,118.6,140.8,84.2,119.7,144.5,82.8,38,75.4,50.4,0.79,0.77,0.54,0.03,7.65,21.2,4.32,1.09,25.9
Braga,33,34,453.5,566.4,80.1,8889.4,2994.9,167.3,193.6,86.4,218.4,251.1,87,60.8,97.6,62.2,1.06,1.25,1.16,-0.19,10.6,37.9,8.85,2.41,47
Famalicão,40,34,364.3,463.4,78.6,6971.4,2419.8,136.9,159.2,86,169.9,195.8,86.8,47.8,83.7,57.1,0.65,0.64,0.62,0.01,7.56,25.1,4.82,1.38,32.7
Farense,30,34,243.4,360.4,67.5,5286.1,2314.7,84.6,107.6,78.6,107.4,139.4,77,47.9,94.7,50.5,0.53,0.76,0.67,-0.23,7.15,21.7,5.44,1.97,27.3
Gil Vicente FC,29,34,338.4,449.4,75.3,6867.9,2552.3,120.8,144.1,83.8,160.4,191,84,52.8,96.2,54.9,0.53,0.72,0.64,-0.19,7.35,29.6,5.12,1.53,34.4
Marítimo,33,34,285.8,390.6,73.2,5813,2256.5,101.4,121.9,83.2,136.9,163.8,83.6,43.1,85.1,50.6,0.5,0.7,0.54,-0.2,6.68,18.9,4.09,1.76,24.2
Moreirense,31,34,321.3,426.6,75.3,6179.9,2360.7,131,154.6,84.7,137.6,165.4,83.2,45.1,83.8,53.8,0.56,0.72,0.55,-0.16,6.62,22.4,4.65,1.24,30.1
Nacional,30,34,291.6,400.3,72.9,5673.7,2235.9,114.8,138.7,82.8,129.6,158.1,82,41.1,82.2,50,0.68,0.69,0.54,-0.01,7.35,22.3,4.71,1.82,26.9
Paços de Ferreira,27,34,312.9,418.9,74.7,6121.9,2353.8,125.9,147.8,85.1,136.3,164.2,83,44.8,87.2,51.4,0.74,0.69,0.57,0.05,7.79,22.8,4.47,1.88,27
Portimonense,28,34,337.6,454.6,74.3,6929.1,2656.9,121.7,147.1,82.7,152.7,181.2,84.3,56.3,103.5,54.4,0.71,0.78,0.74,-0.07,7.82,27.9,6.15,2.15,33.3
Porto,31,34,446.2,552.9,80.7,7959.1,2939.3,201.2,227,88.6,182.4,211.1,86.4,50.1,84.2,59.5,1.47,1.27,1.22,0.2,10.3,35.3,10.9,1.88,48.4
Rio Ave,30,34,385.7,488.3,79,7362.3,2585.4,149.4,171.9,86.9,177.1,205.2,86.3,50.4,86.5,58.3,0.44,0.69,0.64,-0.25,7.18,27.2,5.29,1.53,34.1
Santa Clara,29,34,304.4,410.8,74.1,6235.7,2457.4,106.9,128.6,83.1,142.8,171.1,83.4,49.3,90.9,54.2,0.74,0.86,0.69,-0.12,6.91,25.3,4.56,1.91,31.2
Sporting CP,30,34,415.1,522.9,79.4,7584.7,2647,175.8,200.1,87.9,178.4,209.1,85.3,49.6,86.4,57.4,1.06,1.26,1.13,-0.2,10,30.3,7.24,1.79,36.6
Tondela,26,34,335.4,444.9,75.4,6398.7,2481,131.2,156.5,83.8,155.1,185.4,83.7,42,81.6,51.5,0.82,0.72,0.66,0.11,7.06,26.6,5.35,1.65,32.4
Vitória,30,34,356.5,458.9,77.7,6845.2,2411.9,140.2,163,86,160.5,186,86.3,47.7,86.7,55,0.62,0.71,0.69,-0.1,6.76,27.4,5.59,1.71,35
