Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
B-SAD,29,45.3,34,517.6,54.4,172.9,236.9,113.7,13.9,517.5,12.2,6.68,54.7,5.53,45.3,265,1235.8,581.9,11,7.94,2.62,14.4,7.18,289.7,29.8
Benfica,32,62.6,34,725.4,45.7,170.4,354.2,208.3,28.1,725.3,23.5,14,59.4,9.53,40.6,429.4,2242.5,1148.4,22.5,17.5,5.5,17.4,9.85,509.6,56.4
Boavista,25,43.4,34,492.9,55.7,173.1,223.2,104.1,13.5,492.9,17.2,9.5,55.1,7.74,44.9,257.1,1401.1,674.9,14.2,9.59,3.41,15.1,8.09,281.4,25.7
Braga,33,57.1,34,662.6,54.4,191,323.1,154.5,22.3,662.5,12.3,7.68,62.6,4.59,37.4,387.8,1863.4,973.3,17.1,12.2,4.65,13,6.76,450,46.7
Famalicão,40,51,34,570.2,58.5,210.7,256.4,110,15.1,570,19.9,11.1,55.8,8.79,44.2,326.6,1760.2,904.6,15.4,11.1,3.41,14.8,8.21,361.3,32.3
Farense,30,43.2,34,463.4,55,166.1,191.3,111.3,17.1,463.1,12.2,6.56,53.9,5.62,46.1,221.1,1159.2,544.1,10,6.03,1.97,16.3,7.29,241.4,27
Gil Vicente FC,29,47.9,34,546.5,59.6,196.1,236,120.1,13.9,546.3,14.2,8.24,57.9,6,42.1,281.6,1455.6,731.9,14,9.82,2.71,14,7.74,335.9,34.1
Marítimo,33,44.4,34,497.8,58.4,190.7,221,93.2,12.9,497.7,16.4,9.85,60.3,6.5,39.7,260.7,1369.7,666.4,12.6,9.56,2.41,16.4,7.82,283.4,24.1
Moreirense,31,47.3,34,532.7,57.3,183.5,248.7,107.1,12.9,532.5,16.6,8.41,50.6,8.21,49.4,297.5,1458.2,706.3,13.5,11.2,2.21,17.3,10.4,318.7,29.9
Nacional,30,46.9,34,510,59.4,192.4,225.9,97.9,13.1,509.9,14.9,8.65,58.1,6.21,41.7,264.5,1465.5,705.1,13.6,9.53,2.59,18.1,8.15,289.4,26.8
Paços de Ferreira,27,46.1,34,523.8,54.3,189.7,233.9,106,13.2,523.6,13.7,8.26,60.3,5.44,39.7,273.1,1353.9,609.7,11.7,9.12,2.38,16.6,8.24,310.5,26.8
Portimonense,28,51,34,566.6,60.8,196.1,255.5,120.8,15.9,566.5,14.9,8.47,57,6.38,43,294.6,1443.9,687.7,12.1,10.1,3.09,17,7.79,334.9,33
Porto,31,60.6,34,657.1,49.1,169.8,321.7,173.6,28.6,656.6,21.5,13.3,61.9,8.15,37.8,397.9,1880.6,974.9,18.8,14.6,4.88,17.5,8.32,442.5,48.1
Rio Ave,30,51.8,34,590.8,57.3,195.2,280,121.9,14.9,590.6,18.6,10.9,58.5,7.62,40.9,336.4,1774.9,850.3,16.4,13.9,3.24,15.5,8.59,382.8,34
Santa Clara,29,47.9,34,517,58.9,184.8,233.6,103.8,15.7,516.8,14.6,8.68,59.2,5.97,40.8,264.9,1418.3,711.9,12.4,9,3,16.3,7.97,301.4,30.8
Sporting CP,30,57.2,34,627.2,49.4,175.8,317.2,141.3,21.4,626.9,19.1,11.1,58.1,8,41.9,369.1,1842.7,910.2,17.5,12.7,3.53,16,8.94,411.6,36.3
Tondela,26,47.4,34,550.1,62,200.1,244.1,112.1,13.1,550,13.6,7.82,57.3,5.82,42.7,289.9,1455.9,705.7,11.8,9.21,2.71,16.1,9.03,333,32
