Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
B-SAD,29,34,0.74,9.56,3.03,31.7,9.56,3.03,0.07,0.21,19.1,0.41,0.09,0.12,1,0.9,0.1,-0.26,-0.26
Benfica,32,34,1.91,13.8,5.03,36.4,13.82,5.03,0.13,0.37,16,0.38,0.06,0.06,2.05,2,0.15,-0.14,-0.15
Boavista,25,34,1.06,11.1,3.91,35.1,11.15,3.91,0.09,0.25,20.6,1.06,0.09,0.09,1.13,1.06,0.1,-0.07,-0.09
Braga,33,34,1.56,13.8,4.59,33.3,13.79,4.59,0.1,0.31,18.8,0.56,0.15,0.18,1.62,1.48,0.11,-0.06,-0.07
Famalicão,40,34,1.18,11.2,3.5,31.2,11.21,3.5,0.09,0.29,19.9,0.82,0.15,0.21,1.11,0.94,0.09,0.07,0.09
Farense,30,34,0.88,10.6,3.21,30.3,10.59,3.21,0.07,0.23,17.3,0.53,0.15,0.24,1.24,1.06,0.1,-0.36,-0.32
Gil Vicente FC,29,34,0.94,10,3.15,31.4,10.03,3.15,0.08,0.24,18.4,0.53,0.18,0.26,1.12,0.91,0.09,-0.18,-0.14
Marítimo,33,34,0.79,10,3.06,30.5,10.03,3.06,0.07,0.24,19.4,0.44,0.06,0.12,1.04,0.96,0.1,-0.25,-0.22
Moreirense,31,34,0.94,9.53,2.94,30.9,9.53,2.94,0.09,0.28,19.6,0.47,0.12,0.15,1.09,0.97,0.1,-0.14,-0.15
Nacional,30,34,0.82,11,3.44,31.4,10.97,3.44,0.08,0.24,20.4,0.76,0,0.06,0.97,0.92,0.09,-0.14,-0.1
Paços de Ferreira,27,34,1.15,10.7,3.56,33.3,10.68,3.56,0.09,0.28,19.6,0.38,0.15,0.18,1.08,0.96,0.09,0.06,0.04
Portimonense,28,34,0.97,11,3.09,28.1,11,3.09,0.08,0.29,18.9,0.62,0.09,0.12,1.11,1.01,0.1,-0.14,-0.13
Porto,31,34,2.12,13.8,5,36.3,13.76,5,0.13,0.35,17.6,0.5,0.38,0.47,1.93,1.56,0.12,0.19,0.17
Rio Ave,30,34,0.71,10.4,3.35,32.2,10.41,3.35,0.06,0.18,19.8,0.62,0.09,0.15,1.06,0.94,0.09,-0.36,-0.33
Santa Clara,29,34,1.21,10.6,3.47,32.6,10.65,3.47,0.09,0.29,18.9,0.56,0.21,0.26,1.32,1.11,0.11,-0.12,-0.11
Sporting CP,30,34,1.88,13.8,4.35,31.6,13.76,4.35,0.12,0.38,17.1,0.47,0.24,0.29,1.84,1.62,0.12,0.04,0.03
Tondela,26,34,1.06,9.53,3.24,34,9.53,3.24,0.1,0.31,20.1,0.47,0.06,0.15,1,0.89,0.09,0.06,0.11
Vitória,30,34,1.06,10.1,3.09,30.7,10.06,3.09,0.1,0.31,18.3,0.65,0.09,0.15,1.09,0.97,0.1,-0.03,0
