Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
B-SAD,29,26.6,45.3,34,374,"3,060",34,0.74,0.41,1.15,0.65,0.09,0.12,2.56,0.15,1,0.9,0.65,1.55,11,30.2
Benfica,32,27.2,62.6,34,374,"3,060",34,1.91,1.65,3.56,1.85,0.06,0.06,2.44,0,2.05,2,1.8,3.81,22.5,56.8
Boavista,25,24.1,43.4,34,374,"3,060",34,1.06,0.79,1.85,0.97,0.09,0.09,2.5,0.29,1.13,1.06,0.77,1.83,14.2,25.9
Braga,33,26.5,57.1,34,374,"3,060",34,1.56,1.06,2.62,1.41,0.15,0.18,1.82,0.15,1.62,1.48,1.25,2.73,17.1,47
Famalicão,40,22.9,51,34,374,"3,060",34,1.18,0.65,1.82,1.03,0.15,0.21,2.88,0.12,1.11,0.94,0.64,1.59,15.4,32.7
Farense,30,27.1,43.2,34,374,"3,060",34,0.88,0.53,1.41,0.74,0.15,0.24,2.41,0.21,1.24,1.06,0.76,1.81,10,27.3
Gil Vicente FC,29,26.5,47.9,34,374,"3,060",34,0.94,0.53,1.47,0.76,0.18,0.26,2.03,0.15,1.12,0.91,0.72,1.63,14,34.4
Marítimo,33,26.3,44.4,34,374,"3,060",34,0.79,0.5,1.29,0.74,0.06,0.12,3,0.09,1.04,0.96,0.7,1.66,12.6,24.2
Moreirense,31,26.1,47.3,34,374,"3,060",34,0.94,0.56,1.5,0.82,0.12,0.15,2.47,0.03,1.09,0.97,0.72,1.69,13.5,30.1
Nacional,30,26.5,46.9,34,374,"3,060",34,0.82,0.68,1.5,0.82,0,0.06,2.85,0.15,0.97,0.92,0.69,1.61,13.6,26.9
Paços de Ferreira,27,26.4,46.1,34,374,"3,060",34,1.15,0.74,1.88,1,0.15,0.18,2.09,0.09,1.08,0.96,0.69,1.64,11.7,27
Portimonense,28,26,51,34,374,"3,060",34,0.97,0.71,1.68,0.88,0.09,0.12,2.44,0.03,1.11,1.01,0.78,1.79,12.1,33.3
Porto,31,27.3,60.6,34,374,"3,060",34,2.12,1.47,3.59,1.74,0.38,0.47,1.85,0.12,1.93,1.56,1.27,2.84,18.8,48.4
Rio Ave,30,27.6,51.8,34,374,"3,060",34,0.71,0.44,1.15,0.62,0.09,0.15,2.09,0.18,1.06,0.94,0.69,1.64,16.4,34.1
Santa Clara,29,27.1,47.9,34,374,"3,060",34,1.21,0.74,1.94,1,0.21,0.26,2.82,0.12,1.32,1.11,0.86,1.97,12.4,31.2
Sporting CP,30,25.5,57.2,34,374,"3,060",34,1.88,1.06,2.94,1.65,0.24,0.29,2.62,0.09,1.84,1.62,1.26,2.88,17.5,36.6
Tondela,26,26.1,47.4,34,374,"3,060",34,1.06,0.82,1.88,1,0.06,0.15,2.35,0.18,1,0.89,0.72,1.61,11.8,32.4
Vitória,30,24.7,49,34,374,"3,060",34,1.06,0.62,1.68,0.97,0.09,0.15,2.26,0.09,1.09,0.97,0.71,1.68,16.8,35
