Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,27,38,14.2,8.18,6.87,5.13,2.21,6.42,13.2,48.8,6.74,10.2,3.24,6.92,7.79,22,17.3,0.53
Aston Villa,31,38,16.7,10.1,7.89,6.82,1.97,7.89,17.1,46.2,9.18,11.9,3.68,8.24,8.92,25.6,18.2,0.34
Brentford,29,38,16,9,7.87,6,2.11,7.66,16.2,47.2,8.55,10.1,2.97,7.11,10.3,26.3,22.7,0.18
Brighton,26,38,17.6,10.6,8.05,6.76,2.76,6.39,14.8,43.2,8.42,12.6,3.95,8.68,9.42,27,19,0.32
Burnley,23,38,15.5,8.53,7.18,6.18,2.16,6.58,14.1,46.8,7.47,13.4,5.55,7.84,10.8,26.3,23.3,0.47
Chelsea,26,38,16.3,9.16,7.03,7.08,2.24,6.76,14.9,45.3,8.16,10.7,2.53,8.21,9.13,25.5,16.9,0.39
Crystal Palace,24,38,16.8,9.84,8.5,6.21,2.05,7.18,15.1,47.5,7.95,11.9,3.55,8.34,8.76,25.5,20,0.13
Everton,33,38,18.6,10.6,9.71,6.63,2.21,8.84,19.3,45.7,10.5,13.1,3.68,9.37,9.61,28.2,21.4,0.39
Leeds United,29,38,20.7,11.5,10.4,7.84,2.45,10.7,23.3,46,12.6,12.4,3.76,8.68,10.4,31.1,16.3,0.39
Leicester City,28,38,18.2,10.1,8.84,7.11,2.21,8.05,18.9,42.5,10.9,12.3,3.84,8.5,9.66,27.8,20.4,0.39
Liverpool,27,38,14.6,8.42,5.45,6.32,2.82,6.13,15.2,40.5,9.03,9.45,1.95,7.5,8.95,23.5,13.8,0.21
Manchester City,26,38,13.1,7.47,4.82,5.63,2.66,5.97,13.4,44.6,7.42,7.03,1.45,5.58,7.34,20.4,10.6,0.18
Manchester Utd,29,38,15.4,9.42,8.42,5.18,1.79,6.97,16,43.6,9.03,10.6,3.5,7.13,8.95,24.3,18.5,0.53
Newcastle Utd,29,38,17.3,10.1,8.79,7,1.55,8,16.9,47.4,8.87,11.1,4.26,6.79,9.47,26.8,20.4,0.37
Norwich City,28,38,16.2,9.68,8.47,6.37,1.32,7.82,18.8,41.6,11,11.8,4.74,7.11,10,26.2,22.6,0.37
Southampton,25,38,15.8,8.95,7.5,6.39,1.95,6.53,15.3,42.7,8.76,11.3,3.47,7.84,11.7,27.6,20.9,0.34
Tottenham,25,38,15.7,9.18,7.53,6.42,1.79,6.89,15.4,44.9,8.47,12.4,4.24,8.13,9.34,25.1,20.9,0.39
Watford,30,38,16.2,9.37,8.97,5.61,1.58,7.32,16.5,44.4,9.16,11.6,3.89,7.68,11.7,27.8,23.7,0.5
West Ham,25,38,14.1,7.92,7.18,5.24,1.63,6.32,14.7,43.1,8.34,11.1,4.61,6.45,9.84,23.9,20.6,0.13
Wolves,26,38,17.7,9.92,9.92,6.37,1.42,7.18,17.7,40.7,10.5,11.5,3.55,7.95,10.2,27.9,21.6,0.53
