Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,27,38,425.7,522.2,81.5,7391.3,2397.7,192.8,216.1,89.2,189.1,214.2,88.3,34.9,68,51.3,1.08,1.06,0.91,0.02,11.5,35.6,8.66,1.95,43.6
Aston Villa,31,38,335.5,434.2,77.3,5815.1,2247.5,155.7,179,87,136.4,161.5,84.5,32.6,67.7,48.2,1.11,0.92,0.79,0.19,9.37,26.8,7.71,1.84,34.2
Brentford,29,38,307.3,428.2,71.8,5575.4,2262.7,136.9,166.1,82.4,126.2,161.1,78.4,35.7,75.1,47.6,0.87,0.87,0.89,0,8.18,24.8,6.89,2.13,31.3
Brighton,26,38,431.8,541.8,79.7,7600.7,2508.1,189.3,215.1,88,187.6,216,86.9,41.6,77.7,53.5,0.79,0.85,0.83,-0.06,9.37,31.2,9,1.89,40.7
Burnley,23,38,248.8,371.2,67,4705,2110.4,113.1,140.2,80.7,87,117.7,73.9,38.3,84.6,45.3,0.68,0.82,0.74,-0.14,7.53,23.1,6.32,2.21,25.6
Chelsea,26,38,557.6,654.9,85.1,9008.6,2975.9,279.7,305.7,91.5,218.9,245.3,89.2,40.1,66.2,60.6,1.37,1.18,1.12,0.19,11.6,42.5,11.5,1.74,51.8
Crystal Palace,24,38,394.3,502.1,78.5,6987.8,2434.8,172.4,197.2,87.4,171.6,200.3,85.7,38.6,75.6,51.1,0.82,0.82,0.79,0,8.03,26.1,7.11,1.97,32.3
Everton,33,38,272.8,383.1,71.2,4863.5,2004.3,128.7,154.2,83.4,101.2,129,78.4,32,71.2,44.9,0.76,0.75,0.66,0.01,8.5,23.6,6.71,2.03,28.9
Leeds United,29,38,368.1,481.3,76.5,6385.9,2346.3,165,191.7,86.1,155.8,185.5,84,34.9,72.5,48.1,0.68,0.82,0.66,-0.14,9.13,26.2,7.16,1.39,39
Leicester City,28,38,424.4,529.9,80.1,7093.3,2479.3,204,231.3,88.2,173,199.4,86.7,35,67.9,51.5,1.21,0.9,0.71,0.31,8.21,27,6.68,1.5,35.7
Liverpool,27,38,556.9,672.4,82.8,9753.2,3344.4,247.9,276.5,89.7,243.3,278.1,87.5,52.6,84.5,62.3,1.87,1.67,1.48,0.2,13.9,49.4,13.4,2.42,59
Manchester City,26,38,642.3,734.3,87.5,10857.8,3104.3,308.2,331.7,92.9,267.3,293.7,91,51.9,76.2,68.1,1.66,1.72,1.5,-0.07,14.1,55.5,14.1,1.95,63.7
Manchester Utd,29,38,439.2,543.2,80.9,7375.2,2449.6,214.8,243,88.4,168.4,195.7,86,40.7,69.1,58.9,1.21,1.12,0.98,0.09,10.7,34.6,8.21,1.71,41.3
Newcastle Utd,29,38,268.4,369.4,72.7,4957.2,2044.3,119.6,142.9,83.7,103.1,128.4,80.3,35.3,72.3,48.9,0.61,0.68,0.61,-0.07,8.11,20.8,5.08,1.45,24.3
Norwich City,28,38,320.1,422.9,75.7,5710.7,2107,146.8,170.6,86,129.3,156.6,82.6,36,72.6,49.7,0.42,0.64,0.62,-0.22,6.95,19.4,5.95,1.21,27.1
Southampton,25,38,329.1,445.8,73.8,5552.7,2107.6,160.2,188.8,84.9,128.8,160.3,80.3,29.3,68.2,42.9,0.68,0.86,0.76,-0.17,9.29,26.7,6.55,1.53,34.9
Tottenham,25,38,452.7,544.6,83.1,7470.3,2459.6,217.6,240.6,90.5,180.4,205.6,87.8,36.2,62.4,58,1.32,1.24,1.09,0.08,9.97,30.8,8.89,2.13,38.4
Watford,30,38,274.3,385.3,71.2,5103.7,2106.7,118.6,144.6,82,112.4,140.1,80.2,35,76.4,45.8,0.68,0.86,0.59,-0.17,7.84,21.9,5.61,1.84,28.2
West Ham,25,38,377,483.6,78,6609.3,2347.1,174.4,197.2,88.4,152.3,180.4,84.4,38.9,76.5,50.9,1.21,0.98,0.85,0.23,8.42,29.1,7.13,2.29,38.1
Wolves,26,38,401.4,502.7,79.8,7252.8,2442.5,171.9,195.1,88.1,173.9,201.7,86.2,45.2,79.1,57.2,0.58,0.69,0.62,-0.12,7.74,28.8,5.58,1.5,33.8
