Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arouca,4,34,1.59,0.12,0,0.06,0.06,1.57,0.33,0.04,0.04,5.97,16,37.3,26.8,4.65,42.7,38.5,7.32,62.2,46.3,13.6,0.97,7.1,1.91,1.91,14.3
B-SAD,2,34,1.62,0.15,0,0.18,0.03,1.71,0.31,0.12,0.12,5.21,16.1,32.3,24.1,3.56,42.7,42.8,8.91,65.7,48.8,15.6,0.74,4.7,0.88,0.88,14.9
Benfica,2,34,0.88,0.03,0.03,0.18,0.03,1.02,0.31,0.17,0.17,2.09,6,34.8,24.1,5.21,19.3,29.3,6.5,20.8,29.4,11.1,0.32,2.9,0.91,0.91,15
Boavista,2,34,1.53,0.18,0,0.18,0.03,1.36,0.29,-0.14,-0.14,6.35,16.9,37.5,24.7,5.18,46.3,39,7.79,70.6,50.8,14.4,1.59,11,1.79,1.79,15
Braga,3,34,0.91,0.06,0.06,0.06,0.03,0.94,0.26,0.06,0.06,4.53,12.6,35.8,32.3,5.15,30.2,32.1,7.29,39.5,34.9,12.8,0.62,4.8,1.41,1.41,15.3
Estoril,2,34,1.26,0.09,0,0.06,0.06,1.16,0.25,-0.05,-0.05,4.59,11.9,38.6,33.8,4.41,21.6,31.3,9.74,47.1,40.6,16.3,0.59,3.6,0.62,0.62,9.8
Famalicão,3,34,1.5,0.18,0,0.21,0.06,1.29,0.26,-0.16,-0.16,5.74,12.7,45,23.4,5.29,37.1,32.1,7.03,57.7,45.7,14.1,0.85,6,2.21,2.21,4
Gil Vicente FC,4,34,1.24,0.24,0.06,0.12,0.06,1.31,0.26,0.13,0.13,4.38,11.9,36.7,23.5,4.59,32,30.6,8.62,51.2,42.5,14.7,0.79,5.4,1.29,1.29,10.7
Marítimo,2,34,1.29,0.21,0.06,0.09,0,1.44,0.27,0.15,0.15,5.41,14.1,38.3,27.5,5.26,35.4,29,9,49,39.5,15.3,0.74,4.8,1.06,1.06,13.1
Moreirense,2,34,1.5,0.15,0.03,0.24,0,1.46,0.32,-0.04,-0.04,6.09,17.2,35.3,22.2,3.41,50.4,41.1,7.5,80.4,55.9,13.8,0.74,5.3,1.35,1.35,15.5
Paços de Ferreira,3,34,1.29,0.12,0.09,0.18,0,1.55,0.28,0.26,0.26,6.32,15.8,40,22.7,3.47,42.7,,8.97,68.2,46.1,13.6,0.79,5.8,1.38,1.38,18
Portimonense,3,34,1.32,0.06,0,0.15,0.06,1.51,0.31,0.25,0.25,8.94,22.1,40.4,31.1,3.32,45.5,34.4,10.3,77.1,53.4,14.9,0.71,4.7,0.71,0.71,7.9
Porto,4,34,0.65,0.06,0,0.09,0,0.7,0.3,0.06,0.05,4.82,12.7,38.1,32.4,4.06,33.8,33.1,5.06,34.3,35.6,8.71,0.65,7.4,1.26,1.26,14
Santa Clara,3,34,1.59,0.24,0,0.15,0,1.35,0.27,-0.24,-0.24,7.15,19.2,37.3,27.8,3.09,54,35,7.79,53.6,43.3,14.6,0.74,5,0.62,0.62,14.5
Sporting CP,3,34,0.68,0.03,0.03,0.03,0.06,0.7,0.28,0.08,0.08,2.85,7.35,38.8,27.6,3.79,21.9,22,5.65,23.4,28,9.24,0.44,4.8,1.06,1.06,17
Tondela,2,34,1.97,0.24,0.03,0.12,0.03,1.9,0.32,-0.04,-0.04,6.85,17.6,39,26.6,5.09,46.1,33.5,9.76,53.9,41.5,15.5,0.71,4.6,0.79,0.79,15.1
Vitória,2,34,1.21,0.15,0.03,0.12,0,1.39,0.29,0.19,0.18,6.03,15.3,39.3,23.5,3.5,40.9,32.9,8.12,70.3,49.7,11.7,0.35,3,1,1,15.4
Vizela,3,34,1.71,0.26,0.03,0.12,0.06,1.52,0.28,-0.13,-0.13,3.59,10.7,33.5,16.8,5.18,35.3,39,8.94,53.3,42.4,16.3,0.71,4.3,0.59,0.61,6.5
