Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Arouca,35,34,2.85,0.18,0.09,15.3,14.7,1.5,18.8,10.4,9.06,0.09,0.18,0.06,52.5,16,17.1,48.4
B-SAD,37,34,3.47,0.32,0.09,16.1,15.4,1.94,15.8,9.82,7.91,0.09,0.21,0.03,47.9,15.2,16.2,48.5
Benfica,35,34,2.38,0.09,0.03,14.5,13.1,2.41,20.5,9.38,9.97,0.09,0.06,0.03,51.5,13.1,11.1,54
Boavista,28,34,3.53,0.29,0.15,14.9,13.7,1.79,14.3,11.1,9.91,0.06,0.21,0.03,51.7,14.2,14,50.4
Braga,40,34,2.44,0.15,0.03,14.4,11.7,1.68,15.7,9.88,8.35,0.12,0.06,0.03,55.7,15,15.2,49.7
Estoril,31,34,2.97,0.24,0.09,14.5,14,2.29,17.9,8.76,7.41,0.15,0.15,0.06,45.1,12.5,12.7,49.5
Famalicão,37,34,3.06,0.15,0.09,15,15.4,2.24,17.4,11.9,9.82,0.12,0.24,0.06,51.6,14.2,13.6,51.1
Gil Vicente FC,29,34,2.59,0.12,0.03,13.4,13.8,1.68,14.8,8.29,7.29,0.09,0.26,0.06,48.6,14.3,13.9,50.6
Marítimo,30,34,3.24,0.24,0.15,15.3,18.3,1.71,16.3,10.1,10.6,0.18,0.29,0,50.1,14.5,12.9,52.9
Moreirense,29,34,3.35,0.18,0.09,15.3,13.1,1.59,19.2,9.15,8.65,0.21,0.15,0,52.1,18.4,17.9,50.6
Paços de Ferreira,30,34,3.15,0.15,0.06,16.1,16.1,1.82,18.2,11.1,8.38,0.15,0.18,0,49.8,14.1,15.6,47.4
Portimonense,35,34,3.35,0.21,0.09,14.2,14.6,2.29,15,10.4,8.24,0.06,0.06,0.06,50.9,17,15.2,52.7
Porto,33,34,2.38,0.18,0.09,14.7,13.1,1.59,17.3,9.5,10,0.26,0.09,0,55.5,14.9,14.4,50.8
Santa Clara,32,34,2.97,0.26,0.21,15.4,14.8,2.21,14.1,11.1,9.5,0.03,0.24,0,49.5,13.7,14.3,49
Sporting CP,31,34,2.91,0.18,0.06,13.9,14.4,2.47,23.3,10,9.79,0.24,0.06,0.06,53.5,11.5,10.2,52.9
Tondela,27,34,2.97,0.18,0.09,14.7,16.1,1.74,13.4,10.2,11.1,0.18,0.24,0.03,49.9,11.9,13.9,46
Vitória,31,34,3.53,0.24,0.18,16.3,13.4,1.74,19.4,9.47,8.53,0.21,0.21,0,47.9,14.4,14.8,49.3
Vizela,31,34,2.91,0.18,0.03,14.7,12.8,2.12,20,11.3,9.47,0.09,0.32,0.06,51.2,14.3,16,47.2
