Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Birmingham City,31,46,16.2,10.2,7.96,6.13,2.15,7.59,14.7,51.8,7.07,11.8,3.65,8.11,9.65,25.9,23.6,0.13
Blackburn,28,46,18.2,10.8,9.63,6.65,1.89,9.72,18.1,53.7,8.39,10.6,3.09,7.54,8.72,26.9,21,0.28
Blackpool,35,46,15.9,9,8.07,5.91,1.93,7,14.4,48.5,7.43,11.9,4.33,7.57,10.1,26,23.5,0.13
Bristol City,28,46,16.7,9.83,8.11,6.74,1.85,8.13,15.5,52.5,7.35,11.4,3.65,7.72,8.72,25.4,18.8,0.22
Burnley,28,46,14.9,9.07,6.41,6.59,1.87,7.26,14.2,51.2,6.91,9.33,2.26,7.07,9.02,23.9,15.2,0.28
Cardiff City,31,46,15.4,8.93,7.98,5.78,1.67,6.65,12.5,53.4,5.8,10,3.37,6.63,9.3,24.7,20.9,0.2
Coventry City,28,46,19,11.3,9.57,7.72,1.74,8.48,17.1,49.6,8.61,11.3,3.07,8.26,10.7,29.7,21.3,0.11
Huddersfield,40,46,14.5,8.35,6.85,5.5,2.11,6.91,13.8,50.1,6.89,10.9,4.07,6.83,9.35,23.8,23.6,0.15
Hull City,36,46,14.1,8.76,7.11,5.57,1.41,6.85,14,48.8,7.2,10.6,3.5,7.11,9.13,23.2,21.3,0.39
Luton Town,30,46,15.9,9.07,7.28,6.41,2.24,7.15,15.1,47.5,7.91,12.2,3.37,8.8,9.33,25.3,23.2,0.15
Middlesbrough,29,46,13.8,8.28,6.59,5.43,1.8,6.37,12.5,50.8,6.17,9.57,2.67,6.89,8.09,21.9,15.7,0.24
Millwall,26,46,16.3,9.46,8.02,6.61,1.72,7.65,14.8,51.7,7.15,10.6,3.15,7.46,10.2,26.6,17.9,0.09
Norwich City,31,46,16.4,9.61,8.57,6.15,1.67,8.2,15.5,52.7,7.35,11.1,3.24,7.89,9.09,25.5,18.6,0.5
Preston,28,46,17.9,10.1,9.61,6.3,2,9.37,18,52,8.65,12.3,3.91,8.43,11.7,29.6,21.4,0.2
QPR,29,46,16.1,10,7.91,6.22,1.93,7.43,13.8,53.7,6.41,11.6,3.15,8.48,11.1,27.2,21.8,0.3
Reading,32,46,16,9.67,8.74,5.35,1.91,7.3,14.4,50.8,7.09,10.5,3.72,6.78,9.41,25.4,22.1,0.22
Rotherham Utd,33,46,15.9,9.28,7.83,5.98,2.09,7.07,13.8,51,6.78,10.6,3.67,6.91,8.67,24.6,23.2,0.28
Sheffield Utd,32,46,17.9,11.5,8.57,6.98,2.33,7.48,13.9,53.7,6.46,11.5,2.96,8.5,10.6,28.4,20.5,0.17
Stoke City,32,46,15.8,10,7.52,6.26,1.98,6.59,13.7,48.2,7.07,10.9,3.17,7.72,10.7,26.4,19.2,0.15
Sunderland,30,46,17.2,10,7.74,7.3,2.11,7.63,15.4,49.4,7.8,11.6,3.98,7.61,10.3,27.4,20.3,0.22
Swansea City,24,46,13.7,8.24,6.22,5.43,2.07,5.91,11.7,50.7,5.74,8.54,2.63,5.91,7.37,21.1,15.6,0.3
Watford,41,46,16.9,10.3,9,6.41,1.46,7.8,14.3,54.6,6.48,11.1,3,8.09,10.9,27.8,21,0.11
West Brom,31,46,13.1,8,5.8,5.5,1.83,6,12.1,49.6,6.11,10.9,2.93,7.96,9.28,22.4,17.5,0.24
Wigan Athletic,37,46,15.4,9.74,8,6.15,1.24,7.04,14.4,48.9,7.37,9.09,3.22,5.87,9.15,24.5,19.4,0.24
