Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Birmingham City,31,46,231.9,356.8,65,4649.7,2078.6,95.3,122.5,77.8,91.7,124.5,73.6,37.6,87,43.2,0.76,0.75,0.75,0.01,7.48,22.6,5.54,2.33,25.5
Blackburn,28,46,399.4,514.5,77.6,7253.2,2541.9,174.5,200.7,86.9,167.7,199,84.3,46,86.6,53.1,0.8,0.76,0.76,0.04,7.83,23.2,6.65,1.39,32.3
Blackpool,35,46,245.4,366.8,66.9,4778.6,2069,101.9,127.2,80.1,100,133.9,74.7,36.9,82.6,44.7,0.74,0.74,0.68,0,7.63,20.7,5.83,1.78,26.1
Bristol City,28,46,325.3,454.4,71.6,5982.7,2264.9,141.2,168.4,83.9,134.9,170.6,79.1,39.9,90.2,44.2,0.87,0.95,0.92,-0.08,7.11,25.7,7.72,2.78,31.9
Burnley,28,46,505.4,612.9,82.5,9126.7,2708.7,212.2,235.8,90,236.2,267.9,88.2,48.7,84.2,57.9,1.33,1.05,1.09,0.28,10.3,35.8,7.98,2.39,43.1
Cardiff City,31,46,300,418.1,71.8,5642.3,2195.3,130.2,155.4,83.7,124.7,158.4,78.7,38.5,82.4,46.8,0.67,0.72,0.79,-0.04,8.24,25.6,5.63,1.72,30.4
Coventry City,28,46,310.1,427.4,72.6,5477.9,2293.3,145.4,172.9,84.1,121.8,154,79.1,33.9,74.7,45.4,0.96,0.96,0.87,0,9.2,27.5,6.48,1.24,36
Huddersfield,40,46,258.2,380.4,67.9,4751.1,1969.3,111.2,137.7,80.8,110.7,143.9,76.9,30.1,76.1,39.5,0.74,0.69,0.71,0.05,6.89,20.5,4.09,1.63,24.3
Hull City,36,46,385.9,496.4,77.7,6688,2373.4,180.3,204.7,88.1,160.8,190.8,84.3,34.7,74.3,46.7,0.67,0.74,0.75,-0.07,8.07,25.5,5.98,1.78,30.2
Luton Town,30,46,259.1,389,66.6,5139.5,2344.7,107,134.8,79.4,105.2,142.2,74,40.2,88.1,45.6,0.8,0.92,0.99,-0.12,9.04,26.4,7.72,2.72,34
Middlesbrough,29,46,444.3,555.8,79.9,7609.2,2636.8,207.6,231.5,89.7,188.6,217.2,86.8,38,79,48.1,1.24,1.15,1.16,0.09,9,33.5,8.67,2.33,41.2
Millwall,26,46,264.6,395.1,67,5108.9,2128.8,111.9,139.9,80,105.8,140.8,75.1,39.8,89.3,44.5,0.74,0.85,0.89,-0.11,9.48,24.9,7.33,2.65,29.6
Norwich City,31,46,413.8,526.3,78.6,7622,2617.8,170.3,195.9,86.9,187.6,218.4,85.9,45.9,83.9,54.7,0.91,0.93,0.98,-0.02,10.5,29.4,8.54,1.39,38.4
Preston,28,46,298.7,427.3,69.9,5437.4,2259.7,132.9,161,82.5,117.3,151.8,77.3,37.8,84.8,44.6,0.65,0.73,0.69,-0.08,7.76,24.3,6.93,2.41,29
QPR,29,46,319.2,440.4,72.5,5605.1,2245.9,145.7,172.2,84.6,128.9,163.8,78.7,32.9,75,43.9,0.63,0.77,0.86,-0.14,9,25.1,6.3,2,31.4
Reading,32,46,260.1,370.7,70.2,5152,2196,108.2,131.8,82,107.4,136.7,78.6,39.1,83,47.1,0.54,0.57,0.59,-0.02,6.59,21.8,4.72,1.91,24.8
Rotherham Utd,33,46,221,351.3,62.9,4224.8,1927.7,98.6,125.5,78.5,83.5,119.1,70.2,32.2,83.8,38.4,0.7,0.67,0.71,0.03,6.22,22.1,5.09,1.61,26.4
Sheffield Utd,32,46,332.9,457.6,72.8,5951.6,2376,157.9,185.9,84.9,125,159.1,78.5,40.4,85.2,47.4,1.13,1.25,1.14,-0.12,10.4,29.8,9.37,2.52,38.2
Stoke City,32,46,337.5,467.2,72.2,6526.4,2485.1,133.1,161.2,82.6,150.8,186.6,80.8,45.7,94.7,48.2,0.8,0.88,0.95,-0.08,9.02,29.3,7.74,2.65,36.5
Sunderland,30,46,381.7,486.5,78.4,6624.7,2429.1,176.3,201,87.7,153.9,181.1,85,38.7,74.9,51.7,1.15,0.91,0.76,0.24,9.26,26.8,6,1.07,34.4
Swansea City,24,46,545.8,639.3,85.4,8621.3,2741.3,288.4,309.3,93.2,209.9,233.6,89.9,32.4,65.1,49.7,0.96,0.99,1.08,-0.03,10.2,37,8.5,1.85,42.4
Watford,41,46,356.5,468.3,76.1,6442.9,2360.8,153.4,179.6,85.4,155.2,184.7,84,38.8,78.2,49.7,0.76,0.89,0.86,-0.13,8.3,25.9,6.93,2.09,35
West Brom,31,46,377.5,496.6,76,6852.1,2444.5,161,186.6,86.3,167.3,200.3,83.5,40.2,82.7,48.6,0.76,0.98,1.02,-0.22,9.33,27.7,8.24,2.46,38.2
Wigan Athletic,37,46,319.4,436.8,73.1,5963.2,2234.4,141.5,163.8,86.4,128.8,158.5,81.2,41.1,91,45.1,0.54,0.68,0.71,-0.14,7.22,23,5.89,2.78,26.4
