Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Birmingham City,31,46,1.02,10.5,3.13,29.9,10.46,3.13,0.09,0.3,17.4,0.39,0.09,0.13,1.1,1,0.1,-0.08,-0.06
Blackburn,28,46,1.09,9.98,3.52,35.3,9.98,3.52,0.11,0.3,17.7,0.2,0.02,0.04,1.02,0.98,0.1,0.07,0.08
Blackpool,35,46,1.04,10.7,3.02,28.2,10.72,3.02,0.09,0.32,17,0.33,0.07,0.09,1.04,0.98,0.09,0,0
Bristol City,28,46,1.13,9.78,3.13,32,9.78,3.13,0.11,0.35,16.3,0.41,0.04,0.04,1.25,1.21,0.13,-0.12,-0.13
Burnley,28,46,1.85,13.5,4.61,34.1,13.52,4.61,0.13,0.39,17.5,0.54,0.07,0.07,1.44,1.39,0.11,0.41,0.39
Cardiff City,31,46,0.89,11.5,3.24,28.1,11.54,3.24,0.08,0.27,19.3,0.39,0.02,0.13,1.03,0.93,0.08,-0.14,-0.06
Coventry City,28,46,1.24,12.7,4.04,31.7,12.74,4.04,0.09,0.27,18.6,0.57,0.13,0.15,1.37,1.25,0.1,-0.13,-0.14
Huddersfield,40,46,0.93,9.54,3.13,32.8,9.54,3.13,0.1,0.29,17.1,0.28,0.02,0.02,0.93,0.91,0.1,0.01,0
Hull City,36,46,1.04,10.2,2.91,28.7,10.15,2.91,0.1,0.34,18.4,0.24,0.07,0.09,1.02,0.95,0.1,0.03,0.03
Luton Town,30,46,1.22,12,3.63,30.3,11.98,3.63,0.1,0.33,16.2,0.2,0.02,0.07,1.27,1.21,0.1,-0.05,-0.02
Middlesbrough,29,46,1.76,12.2,4.02,33,12.2,4.02,0.13,0.41,15.9,0.2,0.13,0.17,1.58,1.44,0.12,0.18,0.19
Millwall,26,46,1.17,13.3,3.89,29.2,13.35,3.89,0.08,0.29,17.2,0.57,0.04,0.07,1.23,1.18,0.09,-0.06,-0.05
Norwich City,31,46,1.2,13.8,4.09,29.6,13.83,4.09,0.09,0.29,18,0.5,0,0.02,1.26,1.25,0.09,-0.07,-0.05
Preston,28,46,0.93,10.6,3.3,31.1,10.61,3.3,0.08,0.26,17.8,0.3,0.07,0.07,1.03,0.98,0.1,-0.1,-0.12
QPR,29,46,0.93,11.9,3.24,27.2,11.89,3.24,0.07,0.27,18.1,0.35,0.07,0.11,1.09,1.01,0.09,-0.16,-0.14
Reading,32,46,0.96,9.63,2.74,28.4,9.63,2.74,0.08,0.29,18.5,0.41,0.15,0.17,0.91,0.77,0.08,0.05,0.03
Rotherham Utd,33,46,1.02,8.67,2.72,31.3,8.67,2.72,0.11,0.35,17.1,0.33,0.07,0.09,0.92,0.85,0.1,0.11,0.11
Sheffield Utd,32,46,1.54,13.6,4.8,35.3,13.61,4.8,0.11,0.32,16.4,0.41,0,0.04,1.56,1.52,0.12,-0.02,0.02
Stoke City,32,46,1.15,12.7,4.33,34.1,12.67,4.33,0.09,0.26,17.2,0.37,0.04,0.07,1.25,1.2,0.1,-0.1,-0.09
Sunderland,30,46,1.48,12.3,4.09,33.3,12.26,4.09,0.11,0.34,17.8,0.54,0.11,0.13,1.27,1.16,0.1,0.21,0.21
Swansea City,24,46,1.46,13,4.61,35.5,12.98,4.61,0.11,0.31,17.6,0.33,0.04,0.07,1.33,1.28,0.1,0.12,0.13
Watford,41,46,1.17,11.1,3.57,32.1,11.11,3.57,0.1,0.32,16.8,0.28,0.04,0.09,1.23,1.17,0.11,-0.06,-0.03
West Brom,31,46,1.26,13.1,4,30.5,13.13,4,0.09,0.29,16.1,0.3,0.11,0.15,1.43,1.3,0.1,-0.17,-0.15
Wigan Athletic,37,46,0.76,10.1,2.67,26.4,10.13,2.67,0.07,0.26,17.2,0.37,0.07,0.07,0.98,0.93,0.09,-0.22,-0.23
