Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Birmingham City,31,46,17.9,17.87,12.1,2.11,1.02,1.15,1.22,0.26,1.74,1.74,1.17,0.24,0.02,0.13,0.15,0.02
Blackburn,28,46,17.4,17.37,13.2,1.39,0.76,1.17,0.61,0.28,1.93,1.93,1.52,0.04,0.13,0.17,0.07,0
Blackpool,35,46,18,18,11.7,1.96,1.28,1.54,1.15,0.35,1.65,1.65,1.04,0.11,0.11,0.22,0.09,0.09
Bristol City,28,46,16.9,16.87,12.3,1.33,1.02,0.98,0.98,0.26,1.96,1.96,1.5,0.11,0.15,0.13,0.04,0.02
Burnley,28,46,23.7,23.72,18.6,1.87,0.76,1.22,0.85,0.46,2.96,2.96,2.24,0.15,0.13,0.26,0.13,0.04
Cardiff City,31,46,20.4,20.37,14,1.72,1.67,1.28,1.35,0.39,1.63,1.63,1.11,0.11,0.15,0.11,0.11,0.04
Coventry City,28,46,21.8,21.78,15.3,1.78,1.65,1.46,1.17,0.39,2.17,2.17,1.54,0.09,0.2,0.15,0.15,0.04
Huddersfield,40,46,16.1,16.07,10.3,2.07,1.07,1.33,0.93,0.39,1.52,1.52,1,0.17,0.13,0.13,0.09,0
Hull City,36,46,17.8,17.85,13.5,1.48,0.87,1.15,0.65,0.24,1.83,1.83,1.43,0.13,0.04,0.13,0.07,0.02
Luton Town,30,46,21,20.98,14.5,2.74,1.22,1.35,0.98,0.2,2.09,2.09,1.43,0.15,0.22,0.15,0.09,0.04
Middlesbrough,29,46,21.7,21.74,16.8,1.43,1.11,1.24,0.85,0.28,3.09,3.09,2.46,0.07,0.26,0.15,0.13,0.02
Millwall,26,46,22.9,22.93,14.7,3.26,1.35,1.74,1.7,0.24,1.96,1.96,1,0.33,0.17,0.2,0.26,0
Norwich City,31,46,24.2,24.15,17.7,1.91,1.39,1.8,0.96,0.39,1.93,1.93,1.43,0.07,0.11,0.26,0.02,0.04
Preston,28,46,18.4,18.39,13.2,1.72,0.89,1.11,1.11,0.39,1.59,1.59,1.04,0.13,0.04,0.22,0.13,0.02
QPR,29,46,20.5,20.54,14.4,2.2,0.96,1.3,1.24,0.41,1.61,1.61,1.04,0.13,0.07,0.15,0.15,0.07
Reading,32,46,17.2,17.15,11.1,2.15,0.76,1.24,1.5,0.39,1.57,1.57,0.72,0.22,0.09,0.26,0.22,0.07
Rotherham Utd,33,46,14.4,14.39,9.85,1.54,0.89,1.07,0.85,0.2,1.65,1.65,1.11,0.15,0.11,0.15,0.11,0.02
Sheffield Utd,32,46,23.8,23.83,16.9,2.5,1.48,1.52,1.04,0.39,2.57,2.57,1.52,0.2,0.37,0.3,0.13,0.04
Stoke City,32,46,21.3,21.28,14.8,2.39,0.85,1.76,1.13,0.39,1.89,1.89,1.35,0.15,0.09,0.15,0.11,0.04
Sunderland,30,46,21.7,21.65,15.4,1.65,1.57,1.54,1.15,0.35,2.59,2.59,1.85,0.04,0.24,0.24,0.13,0.09
Swansea City,24,46,23.2,23.15,17.4,2.07,0.85,1.74,0.89,0.17,2.52,2.52,1.89,0.13,0.11,0.3,0.09,0
Watford,41,46,18.8,18.8,13.1,1.67,1.43,1.24,0.91,0.46,1.85,1.85,1.22,0.15,0.15,0.26,0.07,0
West Brom,31,46,21.9,21.89,14.9,2.43,1.02,2.02,1.09,0.41,1.98,1.98,1.3,0.09,0.07,0.3,0.2,0.02
Wigan Athletic,37,46,17.9,17.93,12.8,1.93,0.67,1.11,1.07,0.35,1.37,1.37,0.85,0.17,0.04,0.2,0.07,0.04
