Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arsenal,26,59.3,38,681.8,52.5,174.5,301.4,210.9,34.1,681.7,19.9,9.42,47.2,7.63,38.3,419,2208.3,1162.7,21.7,15.4,7.39,13.8,9.95,476.3,53.3
Aston Villa,26,49.3,38,565.8,73.2,208.2,238.9,123.8,19.6,565.7,17.9,7.71,43,7.34,40.9,323.6,1725.8,872.4,16.8,11.4,4.58,14.9,9.76,357.6,32.3
Bournemouth,31,40.4,38,525,77.2,210.6,208.8,112,18.4,525,19.6,8.66,44.3,9.05,46.3,272.1,1456.8,721.9,13.3,10.2,3.79,15.5,9.66,305.7,25.9
Brentford,25,43.8,38,519.7,69.3,191.8,205.3,127.2,21.8,519.5,15.8,7.03,44.5,6.53,41.3,273.9,1289.9,631.4,10.3,7.89,2.68,13.7,8.84,294.8,29.5
Brighton,29,60.2,38,703.4,65,206.4,321.4,180.9,29,703.2,19.1,9.08,47.5,7.34,38.4,429.8,2203.1,1157,21.3,14.4,6.58,14.7,8.53,499.8,48.1
Chelsea,32,58.7,38,714.9,67.5,222.7,317.3,180.3,25.2,714.8,22.1,10,45.3,9.26,42,435.2,2197.6,1147.3,21.8,16.4,5.68,14.9,10,501.7,45.5
Crystal Palace,26,46.3,38,571.4,67.9,201.8,244.1,131.3,20.2,571.3,20.6,9.66,46.8,8.26,40.1,307.6,1586.9,789.9,14.6,10.3,5.42,16.9,12,350.1,32.6
Everton,28,42.8,38,532.4,66.5,190,221.5,127.1,19.5,532.3,17.7,8.16,46,7.79,43.9,275.8,1493.1,733.1,13.2,10.3,3.61,15.9,7.89,308.1,27.4
Fulham,29,48.8,38,583.2,67.4,196.4,250.7,142.5,19.9,583,16,7.39,46.3,6.26,39.2,322.4,1795.2,930.9,17.4,12.5,3.26,14.1,9.97,364.4,34.6
Leeds United,29,47,38,569.5,55.9,183.4,244.5,147,20.9,569.4,18.1,7.08,39,8.63,47.6,298.5,1448.1,712.1,14.6,9.97,3.84,15.8,11.1,324.5,37.3
Leicester City,28,47.7,38,608.5,70.6,221.3,270.9,122.1,18.1,608.4,16.4,7.74,47.2,6.45,39.3,329,1667.3,832.1,15.3,9.55,4.61,14.4,8.24,389.4,34.1
Liverpool,28,60.8,38,747.3,60.8,213.7,350.8,188.1,32.9,747.2,18.2,8.5,46.6,7.39,40.5,451.3,2170.3,1092.8,18.9,15,6.16,15.4,10.9,524.2,51.9
Manchester City,24,64.7,38,786.7,57.1,195,378.2,218.4,33.6,786.4,18.5,8.84,47.7,6.29,33.9,503.2,2739.4,1479.4,26,19.8,7.34,10.7,7.84,605.1,54.1
Manchester Utd,26,53.7,38,653.9,69.4,213,273.4,172.9,27.3,653.8,19.2,8.34,43.4,8.89,46.3,374.9,1851.3,977,18.7,13.6,6.29,13.1,7.71,432.8,41.5
Newcastle Utd,27,52.3,38,581.7,54.9,177.8,238.2,171.5,30.6,581.6,20.6,9.21,44.6,8.47,41.1,316.4,1689.1,868.1,18.3,13,6,15.2,9.55,363.2,42.1
Nott'ham Forest,33,37.6,38,471.3,71.4,195.3,183,98.8,16.1,471.2,15.1,6.79,45.1,6.16,40.9,228.3,1221.3,632.1,11.5,8.11,2.92,14.1,7.24,248.7,22.3
Southampton,36,44.5,38,555.1,69.4,196.1,236.8,128.4,18.7,555,20,9.53,47.6,8.37,41.8,298,1605.3,784.8,15.5,11.9,3.45,14.9,10.6,321.5,29.3
Tottenham,29,50,38,627.3,71.9,225.6,271.8,135.1,22.2,627.1,17.5,8.05,45.9,7.58,43.2,360,1876.1,969.5,18.2,12.2,4.97,13.7,9.37,417.5,37.8
West Ham,25,42.1,38,537.1,62.2,181.5,229.1,131.4,19.9,536.9,16.2,6.58,40.7,7,43.3,277.4,1511.9,743.3,16.2,10.9,4.37,12.1,9.39,322.5,33.3
Wolves,32,49.9,38,593.1,76.9,224.8,243.8,130.5,18.1,593.1,20.6,10.1,49.2,7.95,38.6,325.6,1769.5,922.9,16.1,11.1,3.74,13.6,8.58,380.3,35.1
