Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,26,24.7,59.3,38,418,"3,420",38,2.21,1.68,3.89,2.13,0.08,0.11,1.34,0,1.88,1.81,1.41,3.22,21.7,53.9
Aston Villa,26,27,49.3,38,418,"3,420",38,1.29,0.92,2.21,1.21,0.08,0.11,2.11,0.03,1.32,1.24,1.02,2.26,16.8,32.7
Bournemouth,31,26.3,40.4,38,418,"3,420",38,0.97,0.63,1.61,0.97,0,0,1.79,0,1.01,1.01,0.75,1.76,13.3,26.5
Brentford,25,26.2,43.8,38,418,"3,420",38,1.47,0.95,2.42,1.29,0.18,0.21,1.5,0.03,1.48,1.32,1.01,2.33,10.3,29.8
Brighton,29,26.3,60.2,38,418,"3,420",38,1.79,1.21,3,1.63,0.16,0.16,1.53,0,1.93,1.81,1.37,3.19,21.3,48.7
Chelsea,32,26.3,58.7,38,418,"3,420",38,0.97,0.71,1.68,0.89,0.08,0.08,2.13,0.08,1.3,1.24,1.02,2.26,21.8,45.7
Crystal Palace,26,26.7,46.3,38,418,"3,420",38,1,0.76,1.76,0.97,0.03,0.08,2.16,0.08,1.03,0.97,0.76,1.73,14.6,32.7
Everton,28,26.6,42.8,38,418,"3,420",38,0.84,0.63,1.47,0.76,0.08,0.08,2.13,0.05,1.19,1.13,0.85,1.98,13.2,27.7
Fulham,29,28.2,48.8,38,418,"3,420",38,1.37,0.87,2.24,1.24,0.13,0.24,2.11,0.03,1.22,1.03,0.75,1.78,17.4,34.9
Leeds United,29,25.3,47,38,418,"3,420",38,1.18,0.82,2,1.16,0.03,0.08,2.34,0.08,1.24,1.18,0.84,2.02,14.6,37.6
Leicester City,28,26.1,47.7,38,418,"3,420",38,1.29,0.95,2.24,1.21,0.08,0.16,1.66,0.05,1.33,1.2,1.01,2.21,15.3,34.3
Liverpool,28,27.4,60.8,38,418,"3,420",38,1.87,1.53,3.39,1.82,0.05,0.11,1.5,0.03,1.88,1.8,1.46,3.27,18.9,52.4
Manchester City,24,27.2,64.7,38,418,"3,420",38,2.42,1.82,4.24,2.18,0.24,0.26,1.16,0.03,2.07,1.87,1.51,3.38,26,54.6
Manchester Utd,26,26.9,53.7,38,418,"3,420",38,1.47,1.11,2.58,1.39,0.08,0.08,2.05,0.05,1.78,1.72,1.37,3.09,18.7,42
Newcastle Utd,27,27.3,52.3,38,418,"3,420",38,1.68,1.11,2.79,1.53,0.16,0.16,1.61,0.03,1.89,1.77,1.36,3.13,18.3,42.6
Nott'ham Forest,33,26.5,37.6,38,418,"3,420",38,0.95,0.58,1.53,0.87,0.08,0.16,2.21,0,1.03,0.91,0.69,1.61,11.5,22.6
Southampton,36,24.7,44.5,38,418,"3,420",38,0.95,0.66,1.61,0.89,0.05,0.11,1.92,0,0.99,0.91,0.74,1.65,15.5,29.6
Tottenham,29,27.6,50,38,418,"3,420",38,1.79,1.21,3,1.66,0.13,0.16,2.03,0.08,1.5,1.38,1.13,2.51,18.2,38.1
West Ham,25,28.2,42.1,38,418,"3,420",38,1.08,0.66,1.74,0.92,0.16,0.21,1.16,0,1.29,1.15,0.86,2.01,16.2,33.5
Wolves,32,26.7,49.9,38,418,"3,420",38,0.74,0.32,1.05,0.66,0.08,0.08,2.24,0.16,0.97,0.91,0.67,1.58,16.1,35.3
