Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Arouca,29,47.9,34,568.9,72.6,221.1,242.2,111.8,12.6,568.7,18.4,9,49,7.65,41.7,297.7,1511.1,717.4,11.8,9.97,2.21,15.9,7.47,349.4,30
Benfica,32,63.2,34,763,45.4,175.3,355.8,238.3,31,762.6,21.8,9.38,43,9.24,42.4,440,2193.6,1133.9,22.4,17,4.85,15.1,8.12,546.9,57.2
Boavista,30,48.4,34,558.4,55.5,191.3,257.8,114.8,14.4,558.3,18.5,8.09,43.7,8.15,44,294.3,1537.3,765.7,15.2,11.2,2.94,14.7,7.74,349.5,31.6
Braga,31,54.3,34,648.7,57.3,186,296.8,171.8,26.1,648.5,17.8,8.56,48,7.32,41.1,359.3,1827.7,914.9,18,14.3,5.53,14.3,7.71,430.1,44.1
Casa Pia,31,42,34,524,66.4,193,231.6,105.4,15.5,523.9,17.4,7.94,45.7,7.29,42,263.5,1428.2,710.4,14.8,11.2,3.12,15.7,8.21,307.1,30.9
Chaves,31,46.3,34,534.2,67.6,188.1,233.1,119,17.5,533.9,19.9,9.24,46.4,8.68,43.6,286.7,1530.6,794.7,15.3,10.5,3.38,15.7,9.24,320,35.4
Estoril,33,47.6,34,524.6,72.9,201,220.5,108.7,16.1,524.4,20.4,8.68,42.5,9.18,45,283.8,1622.9,844.7,14.7,11.3,3.35,14.9,7.59,321.2,29.7
Famalicão,33,47.1,34,554.8,63,207.4,238.9,114.3,16.1,554.7,20.5,9.53,46.4,8.56,41.7,282.6,1460.2,713.4,15.1,11.4,2.76,15.4,8.62,339.9,32
Gil Vicente FC,32,53.7,34,621.8,65.5,206.4,272.9,147.9,18.7,621.5,20.7,8.62,41.6,9.35,45.2,347.3,1756.8,925.4,16.9,12.4,3.56,15.3,9.62,403.6,41.7
Marítimo,39,48.4,34,539.5,60.4,184.9,236.9,124.2,17.1,539.3,20.4,8.26,40.5,9.59,47,269.8,1469.3,705.8,14.3,11.1,3.18,15.9,8.32,320.7,34.9
Paços de Ferreira,36,46.5,34,532.5,64.4,197.1,226.4,113.9,15.6,532.4,16.2,7.38,45.5,6.65,40.9,292.1,1472.4,700.7,15.4,11.1,2.53,14.5,7,328.5,30.3
Portimonense,35,48.9,34,561,69.9,196.9,247.7,121.5,15.9,560.8,16.5,7,42.3,7.32,44.3,285.7,1444.9,713.7,11.4,9.68,2.35,16.3,8.15,335.5,31.2
Porto,28,58.4,34,653.4,58.9,189,295.1,175.4,30.8,653,21.4,9.68,45.3,8.82,41.3,390.6,1940.9,1048.5,21.8,15.3,5.88,15,6.79,440.5,47.2
Rio Ave,30,48.6,34,580,62,196.4,274.1,115.1,13.9,579.8,18.5,7,37.8,8.41,45.5,306.2,1653,854,15.4,12.1,1.91,14.7,9.32,369.3,33.6
Santa Clara,34,42.4,34,493.9,61.8,183.2,216.8,100.2,15.6,493.6,18.6,8.29,44.7,7.97,42.9,238.3,1286.4,630.3,11.8,8.85,2.65,16.4,8.03,271,26.7
Sporting CP,32,63.1,34,726.9,54.8,187.5,356.6,189.8,28,726.6,24.3,11.3,46.4,10.8,44.4,455.8,2430.1,1341.2,25.7,17.5,6.53,13.8,7.91,522.5,53.9
Vitória,34,47.8,34,550.9,59.1,184.1,249.6,122.7,16,550.7,19.7,8.56,43.4,9.12,46.2,291.7,1522.3,753.5,15.2,10.2,3.47,15.3,7.76,331.7,33
