Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arouca,29,34,17.7,17.74,13.2,1.35,1.03,0.97,0.74,0.41,1.76,1.76,1.21,0.12,0.24,0.09,0.12,0
Benfica,32,34,30.1,30.15,23,1.85,1.56,1.94,1.35,0.41,4.03,4.03,3.15,0.09,0.24,0.32,0.24,0
Boavista,30,34,18.9,18.91,14.2,1.5,1,1,0.82,0.41,2.41,2.41,1.79,0.15,0.12,0.15,0.21,0
Braga,31,34,28.8,28.76,21.9,2.15,1.35,1.74,1.24,0.41,3.56,3.56,2.53,0.15,0.32,0.29,0.21,0.06
Casa Pia,31,34,19.3,19.26,13.5,1.91,1.15,1.24,0.97,0.53,1.5,1.5,0.97,0.12,0.06,0.15,0.18,0.03
Chaves,31,34,23.1,23.12,16,2.15,1.44,1.47,1.82,0.26,1.62,1.62,0.79,0.24,0.12,0.24,0.24,0
Estoril,33,34,17.4,17.41,12.2,1.65,1.09,1,1.06,0.41,1.74,1.74,1.38,0.12,0.12,0.09,0.03,0
Famalicão,33,34,21.9,21.94,14.9,2.29,1.71,1.62,1.15,0.32,2.06,2.06,1.5,0.15,0.12,0.15,0.15,0
Gil Vicente FC,32,34,22.9,22.91,16.5,1.88,1.44,1.47,1.18,0.47,1.5,1.5,0.94,0.09,0.09,0.24,0.12,0.03
Marítimo,39,34,23.6,23.56,15.9,2.53,1.56,1.59,1.62,0.35,1.5,1.5,0.91,0.09,0.18,0.21,0.12,0
Paços de Ferreira,36,34,20.6,20.56,14.4,2.18,0.82,1.26,1.44,0.5,1.29,1.29,0.97,0.06,0.06,0.09,0.12,0
Portimonense,35,34,20.4,20.41,14.1,2.32,0.88,1.59,1.03,0.5,1.32,1.32,0.91,0.03,0.03,0.15,0.15,0.06
Porto,28,34,26.7,26.71,19.6,2.15,1.62,1.62,1.32,0.41,3.62,3.62,2.47,0.12,0.24,0.41,0.26,0.12
Rio Ave,30,34,20.1,20.06,14.7,2,0.76,1.21,1.21,0.18,1.91,1.91,1.47,0.09,0.12,0.09,0.15,0
Santa Clara,34,34,17.4,17.44,11.3,2.35,1.06,1.09,1.38,0.26,1.26,1.26,0.65,0.12,0.18,0.09,0.21,0.03
Sporting CP,32,34,28.8,28.82,21.9,1.88,1.76,1.44,1.15,0.65,3.35,3.35,2.26,0.18,0.38,0.29,0.24,0
Vitória,34,34,20.3,20.29,13.9,2.15,1.03,1.32,1.41,0.53,1.74,1.74,1.15,0.18,0.06,0.09,0.21,0.06
Vizela,30,34,20,20,14.2,1.97,1.06,1.32,1.06,0.38,1.44,1.44,1.03,0.06,0.09,0.12,0.09,0.06
