Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Birmingham City,2,46,1.41,0,0.02,0.17,0.04,1.3,0.28,-0.07,-0.07,6.61,18.8,35.1,28.4,5.93,46.3,34.9,8.57,66.8,48.9,15.2,1.78,11.7,1.02,1.02,9.9
Blackburn,2,46,1.61,0.09,0.02,0.24,0.07,1.44,0.28,-0.1,-0.1,2.89,11.3,25.7,30.2,5.67,25,24.5,8.83,42.1,36.2,13.3,0.83,6.2,1.74,1.74,14.4
Bristol City,1,46,1.11,0.09,0,0.15,0.04,1.06,0.24,0,0,5.02,17.4,28.8,30.5,5.7,48.5,36.4,7.33,35.9,32.5,12.7,0.8,6.3,1.59,1.59,16.6
Cardiff City,3,46,1.52,0.04,0.04,0.13,0.02,1.4,0.33,-0.1,-0.1,5.85,17.5,33.3,27.3,3.93,45.8,40.6,8.2,61.5,48.2,13.6,0.52,3.8,0.63,0.63,13.5
Coventry City,2,46,1.28,0.07,0.02,0.15,0.09,1.13,0.26,-0.06,-0.06,3.59,10.3,34.7,26.9,5.43,26.6,29.8,8.41,37.7,35.3,13.9,0.67,4.9,1.02,1.02,12.5
Huddersfield,3,46,1.67,0.07,0.04,0.2,0.04,1.58,0.34,-0.05,-0.05,5.76,18.3,31.5,25.4,5.17,51.7,34.8,8.52,60.5,45.2,14.8,0.63,4.3,0.93,0.93,10.8
Hull City,2,46,1.3,0.07,0.02,0.17,0,0.97,0.24,-0.33,-0.33,2.91,12.7,22.9,44.2,2.96,24.6,26.9,7.93,23.3,23.5,13.8,0.93,6.8,1.02,1.02,11.2
Ipswich Town,2,46,1.24,0.04,0.02,0.07,0.13,1.13,0.31,0.03,0.03,3.37,7.93,42.5,32.9,3.78,20.7,36,6.98,16.2,20,13,0.72,5.5,2.28,2.28,
Leeds United,3,46,0.93,0.02,0,0.17,0.04,0.8,0.29,-0.09,-0.09,2.3,9.09,25.4,37.3,4.39,20.1,29.1,5.8,27.3,30,11.3,0.52,4.6,1.09,1.09,12.8
Leicester City,2,46,0.89,0,0.02,0.17,0.02,1,0.3,0.13,0.14,2.78,9.11,30.5,43.2,4.83,19.1,24.9,5.89,14.4,20.2,10.7,0.67,6.3,1.67,1.67,10
Middlesbrough,2,46,1.35,0.07,0.02,0.2,0.04,1.25,0.31,-0.06,-0.06,3.07,10.7,28.7,33.3,4.74,25.4,27.9,7.54,29.7,27.8,14,0.83,5.9,1.63,1.63,18
Millwall,2,46,1.2,0.13,0,0.11,0.02,1.25,0.31,0.07,0.07,5.72,17.7,32.2,20.3,3.13,57.1,41.8,7.59,81.4,55.9,14,0.93,6.7,1.2,1.2,16.4
Norwich City,2,46,1.39,0.11,0,0.17,0.04,1.38,0.31,0.04,0.04,3.28,10.3,31.9,28.8,4,28.2,32.4,8.17,26.3,26.8,14.9,0.87,5.8,1.22,1.22,9.8
Plymouth Argyle,2,46,1.52,0.04,0.02,0.2,0.09,1.5,0.32,0.07,0.07,4.2,17.2,24.4,31.6,6.39,41.3,37,9.65,42.8,37.5,16.9,1.2,7.1,0.57,0.57,12
Preston,2,46,1.46,0.09,0,0.11,0.04,1.43,0.32,0.02,0.02,6.54,22.4,29.3,24.1,3.72,60.6,46.8,8.63,89.9,62.1,14.4,0.65,4.5,1.26,1.26,17.4
QPR,2,46,1.26,0.02,0,0.2,0.02,1.09,0.27,-0.15,-0.15,4.43,13.5,32.9,23.7,5.37,41.2,33.5,9.15,40.4,35.7,14.2,1.11,7.8,0.52,0.52,6
Rotherham Utd,2,46,1.93,0.11,0.07,0.2,0.02,1.95,0.32,0.03,0.03,12.6,31.9,39.6,30.1,2.37,80.2,45.7,9.04,86.5,59.6,17.4,1.33,7.6,1.61,1.61,14.5
Sheffield Weds,3,46,1.48,0.11,0.02,0.22,0.07,1.28,0.31,-0.14,-0.14,6.02,17.6,34.2,31,4.24,42.7,33.3,8.83,50,40.4,13.8,0.85,6.1,1.28,1.28,16.4
Southampton,2,46,1.37,0.04,0,0.11,0,1.09,0.29,-0.28,-0.28,3.76,8.61,43.7,39.7,5.67,20,25.6,6.22,10.5,18.8,11.7,0.39,3.4,1.35,1.35,9.3
Stoke City,4,46,1.3,0.11,0.04,0.17,0.02,1.25,0.3,-0.03,-0.03,5.3,17.9,29.6,28.9,4.83,44.6,43.6,7.72,65.1,50.5,14.2,1.04,7.4,1.04,1.04,17
Sunderland,2,46,1.17,0.04,0,0.13,0.04,1.19,0.32,0.06,0.06,3.11,8.85,35.1,27,5.48,25.1,31.7,6.33,32.6,31.4,11.2,0.76,6.8,0.76,0.76,10
Swansea City,1,46,1.41,0.11,0,0.13,0.04,1.49,0.31,0.12,0.12,4.83,16.9,28.5,40.6,5.63,32.3,31.3,7.76,49.3,39.9,12.9,0.76,5.9,1.39,1.39,16.3
Watford,2,46,1.33,0.07,0.07,0.17,0.07,1.37,0.29,0.1,0.11,2.67,10.1,26.4,33.5,4.96,25.8,30.4,6.83,21.7,26.1,12.6,0.61,4.8,1.67,1.67,17.1
West Brom,1,46,1.02,0.07,0.02,0.24,0,1.02,0.28,0,0,3,10.7,28,29.6,4.3,28.4,30.1,6.5,35.1,32.1,12.8,0.7,5.4,1.24,1.24,14.7
