Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Birmingham City,30,46,2.2,0.07,0.02,12.7,10.3,1.74,14.3,10.4,11.1,0.07,0,0.04,47.7,16.5,16.1,50.5
Blackburn,31,46,2.09,0.11,0.02,10.4,8.98,2.35,14.4,9.61,11.2,0.02,0.13,0.07,50.8,15,13.5,52.6
Bristol City,26,46,1.54,0.02,0.02,9.7,10.2,1.91,17.7,9.3,9.72,0.09,0.11,0.04,49.5,16.1,18.9,46
Cardiff City,34,46,1.76,0.02,0.02,9.48,9.61,1.2,15.2,10.8,10.7,0.02,0.09,0.02,47.2,17.9,16.8,51.5
Coventry City,26,46,1.93,0.07,0,11.4,11.4,1.65,18.9,9.22,10.6,0.11,0.07,0.09,48.2,13.2,14.6,47.5
Huddersfield,33,46,1.93,0.04,0.04,10.8,11.5,2.11,19.6,9.41,9.8,0,0.09,0.04,47.8,18.3,18.8,49.4
Hull City,33,46,2.11,0.02,0,9.72,12.3,1.78,16.4,7.63,8.13,0.13,0.07,0,46.5,13,12.6,50.8
Ipswich Town,32,46,2.2,0,0,12.3,10.2,1.76,18.7,9.04,10.8,0.07,0.07,0.13,52.1,16.4,13.8,54.4
Leeds United,33,46,1.59,0.04,0.02,10,12.2,2.13,16.4,8.48,11,0.17,0.02,0.04,48,13.2,11.5,53.3
Leicester City,27,46,1.8,0.02,0,10.3,10.5,1.74,16.8,8.89,10.7,0.28,0.02,0.02,47.7,12.1,10.3,53.9
Middlesbrough,35,46,1.85,0.04,0.04,10.7,10.4,2.22,16.7,8.76,9.67,0.07,0.07,0.04,48.2,12.3,11.9,50.7
Millwall,27,46,2.24,0.04,0,12.8,9.13,1.7,16.8,10.7,11.3,0,0.17,0.02,47.7,20.4,20.4,49.9
Norwich City,31,46,1.83,0.04,0.02,10,10.8,2.26,19.4,9.35,10.3,0.07,0.11,0.04,44.4,13.8,13.6,50.3
Plymouth Argyle,31,46,2.2,0.04,0.02,10.1,11.3,1.46,13.6,8.91,9.13,0.02,0.07,0.09,44,14.2,16.7,45.9
Preston,28,46,2.37,0.02,0.02,12.7,9.33,1.85,17.4,11.7,11.3,0.07,0.09,0.04,48.3,20,19,51.3
QPR,30,46,2.15,0.09,0.04,12,10.6,1.78,20.7,9.61,10,0.02,0.02,0.02,43.8,18,16.4,52.3
Rotherham Utd,35,46,1.91,0.09,0.09,11.5,8.8,1.8,16.2,9.98,10,0.04,0.13,0.02,44.1,20,22.5,47
Sheffield Weds,33,46,2.35,0.11,0.04,12.4,9.61,1.74,18,9.41,10.5,0,0.15,0.07,47,16.8,16.2,51
Southampton,28,46,2.24,0.07,0.02,9.85,11.8,1.85,19.7,8.43,8.83,0.09,0.07,0,46.6,9.57,9.33,50.6
Stoke City,35,46,2.46,0.07,0.07,12.6,9.33,2.13,19.8,10,11.1,0.09,0.13,0.02,51.2,16.4,17.3,48.6
Sunderland,32,46,2.07,0.04,0.04,10.1,13,1.91,17.2,8.67,10.8,0.13,0.07,0.04,48.3,12.1,13.2,47.8
Swansea City,30,46,2.09,0.09,0.07,10.3,12,1.87,20.2,9.7,9.63,0.15,0.11,0.04,46.1,13.7,17.4,44
Watford,27,46,2.26,0.07,0.02,12.6,10.2,1.65,19,9.37,10.5,0,0.15,0.07,49.1,13.6,14.3,48.7
West Brom,28,46,1.72,0.02,0.02,8.2,10.1,1.76,19.7,8.43,7.91,0.09,0.15,0,43.1,15.7,12.9,54.9
