Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Birmingham City,30,46,407.3,353,52.5,11.8,1.26,3.63,14.3,25.3,4.37,2.13,1.39,0.09,300.9,1.74,9.85
Blackburn,31,46,538.6,484.7,51.5,10.9,1.83,4.2,14.4,24.1,5.09,1.52,1.22,0.07,425.7,2.35,11.5
Bristol City,26,46,494.7,442.1,50.7,11.8,1,2.7,17.7,24.1,5.3,2.65,1.11,0.13,376.1,1.91,9.7
Cardiff City,34,46,461.7,410.5,50,12.1,0.67,4.54,15.2,22.9,4.3,1.87,1.59,0.04,353.4,1.2,8.54
Coventry City,26,46,523.5,470.6,51.2,13,1.48,2.22,18.9,21.2,6.2,3.11,1.85,0.2,419.8,1.65,9.33
Huddersfield,33,46,369.4,316.4,50.9,13.3,0.78,2.5,19.6,21.3,4.98,1.93,1.96,0.57,253.8,2.11,8.8
Hull City,33,46,594.8,543.7,49.3,13.5,1.17,2.87,16.4,20.1,5.5,1.91,1.67,0.2,498.7,1.78,9.11
Ipswich Town,32,46,525.3,474.7,48.8,11.8,1.74,2.76,18.7,22.4,5.3,2.65,1.83,0.02,416.9,1.76,9.39
Leeds United,33,46,573.8,522.8,48.9,13,2.15,1.65,16.4,22.2,6,2.93,2.07,0.04,480.7,2.13,9.85
Leicester City,27,46,666.2,618.9,45.5,12.1,1.8,4.72,16.8,20.1,5.52,2.87,1.13,0.02,576,1.74,8.61
Middlesbrough,35,46,572.6,520.2,50.2,12,2.09,3.3,16.7,22.4,5.89,1.98,2.04,0.28,472.3,2.22,10.3
Millwall,27,46,402.8,355.1,46,9.89,0.89,2.89,16.8,21.9,4.43,2.46,1.46,0.28,286,1.7,8.17
Norwich City,31,46,503.1,452,48.8,11.6,1.24,2.67,19.4,21.3,5.33,2.5,1.85,0.11,404.4,2.26,8.85
Plymouth Argyle,31,46,434.5,379.4,53.6,13.9,0.87,3.17,13.6,22.2,5.37,2.3,1.07,0.17,326.2,1.46,9.91
Preston,28,46,422.2,370.2,50.2,10.6,0.96,3.04,17.4,24.3,4.17,2.76,0.8,0,296.3,1.85,9.61
QPR,30,46,449,394.3,52.9,12.6,0.63,2.15,20.7,23.5,5.39,2.67,1.5,0.2,338.7,1.78,8.22
Rotherham Utd,35,46,341.5,291.2,48.4,10.7,0.37,1.72,16.2,22.3,3.41,2.07,1.09,0,228,1.8,7.83
Sheffield Weds,33,46,407.4,354.9,50.8,11.6,0.61,2.76,18,22.6,5.33,2.74,0.96,0.09,295.7,1.74,8.78
Southampton,28,46,712.4,662.3,48.3,13.8,1.85,2.83,19.7,18.5,7.41,3.7,1.59,0.11,624.9,1.85,9.22
Stoke City,35,46,480.6,428.2,50.3,11.2,0.93,4.46,19.8,23.2,5.89,2.26,2.5,0.09,359.4,2.13,10.5
Sunderland,32,46,552.6,500.7,50,13.9,1.52,3.54,17.2,21.5,6.07,2.52,1.28,0.02,456.3,1.91,9.2
Swansea City,30,46,545.5,491.4,52.3,14,0.85,2.59,20.2,22.7,5.3,1.2,2.61,0.46,436.9,1.87,9.33
Watford,27,46,507.2,457.2,48.3,11.5,1.2,5.37,19,22.5,5.13,2.35,1.78,0,401.6,1.65,8.8
West Brom,28,46,514.6,462.9,49.9,12.6,1.13,3.33,19.7,23.1,5.67,2.35,2.35,0.09,414.5,1.76,8.7
