Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Birmingham City,30,44.1,46,529.5,69.3,203.5,217.8,114,19.4,529.5,19.5,8.52,43.6,9.48,48.5,267.3,1496.9,711.1,16.3,9.76,5.02,17.1,10.4,298.1,30.1
Blackburn,31,51.6,46,650,74.3,235.2,265.2,155.3,22.7,650,15.1,7.26,48.2,6.91,45.9,350.8,1659.9,831.7,14.2,9.41,4.46,15.3,8.74,423.7,43.7
Bristol City,26,47.8,46,599.8,67.3,200,278.3,127.4,19,599.6,14.9,6.37,42.8,7.39,49.7,312.5,1613.2,803.3,15.9,10.5,4.09,14.9,7.43,373.3,32.8
Cardiff City,34,45.5,46,572.7,66.2,213.4,251.6,113.3,15.4,572.6,16.6,7.17,43.2,8.2,49.3,306.5,1461.1,674.8,13.7,9.78,4,15,7.17,350.1,28.3
Coventry City,26,51.3,46,635,70.7,211.4,275.4,153.4,21.9,634.8,15.5,6.72,43.2,7.59,48.8,351.9,1782.7,902.1,17.6,12.3,4.91,17.5,9.3,417.3,42.4
Huddersfield,33,40,46,481.2,60.6,165.7,209.4,112.3,18.7,481.2,14.8,6.37,43.2,6.74,45.7,230.8,1328,667.8,14.3,8.63,3.48,16.1,7.24,250.4,28.3
Hull City,33,55.4,46,701.6,81.6,263.8,301.9,141.3,21.2,701.5,18.7,8.15,43.5,8.98,47.9,422.6,1952.4,971.7,17.7,11.5,6.13,14.7,8.65,494.7,35.3
Ipswich Town,32,53,46,635,68.5,219.4,269.8,152.2,26.2,634.9,15.1,6.67,44.1,7.22,47.7,351.5,1873.4,949.3,18.3,11.7,5.48,15.7,8.37,412,41
Leeds United,33,58.2,46,687.5,55.9,207.1,317.9,169.3,29.2,687.3,22.2,10.2,46,10.3,46.2,404.2,2268.9,1195.5,22.3,13.7,7.67,17.1,9.85,475.8,45.5
Leicester City,27,61.6,46,772.3,65.6,229.6,373.2,175.9,27.9,772,19,8.85,46.5,8.35,43.9,467.5,2364.3,1280.5,22.6,14.6,6.74,16,7.98,569.4,47.9
Middlesbrough,35,52.9,46,678.8,66.3,218.2,302.8,162.8,24.1,678.7,17,7.15,42.2,8.46,49.9,394.5,1943.9,999.4,20.1,12.8,5.43,14.9,9.57,468.3,44.3
Millwall,27,42.3,46,517.7,55.7,177.9,229,115.8,17.9,517.7,14.4,6.41,44.6,6.83,47.5,249.2,1294.4,600.5,12.3,9.22,3.07,15.9,8.11,283.5,27.8
Norwich City,31,49.3,46,615,74.2,240.8,256.3,123.9,19.8,615,16.2,7.07,43.7,7.87,48.7,347.4,1834.3,942.3,16.8,11,3.98,15.8,6.89,399.7,34
Plymouth Argyle,31,45,46,546.1,81.5,219.3,219,113.1,18.6,546,15.9,6.89,43.4,7.52,47.3,278.8,1593.6,781.7,16.8,10.1,5.39,15.2,7.91,323.1,31.6
Preston,28,44.6,46,534.9,55.1,168,250.4,122,16.2,534.8,14,6.57,46.7,6.43,45.8,258.8,1319.8,592,12.3,9.26,3.54,15.2,7.83,293.4,28.2
QPR,30,46.3,46,555.1,70.9,214,218.8,127.4,19.4,555.1,16,7.85,49.2,7.24,45.4,273,1477.9,706,16.1,9.87,4.78,14.7,8.33,335.4,28.4
Rotherham Utd,35,37.2,46,451.4,65,166.2,186.4,103.5,13.2,451.4,11.5,5.09,44.2,5.7,49.5,211.7,1147.2,505.7,10.8,7.91,1.91,14.7,7.57,225.7,20.5
Sheffield Weds,33,43.4,46,519.8,68,199.5,214.1,111.9,17.7,519.8,17.9,7.96,44.5,8.61,48.1,253.3,1292.1,627,13.2,9.07,3.52,16.8,8.15,292.2,26.7
Southampton,28,65.5,46,814.5,70.5,224.7,387.7,208.2,32.8,814.4,20.6,9.5,46.2,9.24,44.9,497,2572.2,1399.5,26.2,16.5,7.39,13.7,8.11,619.1,55.3
Stoke City,35,50.6,46,591.3,62.9,190.8,258.5,147.2,21.4,591.2,14.5,6.5,44.7,6.91,47.5,306.3,1601.9,754,15.5,10.2,4.28,16.2,8.59,355.9,40.4
Sunderland,32,55.4,46,663.9,63.4,213.7,298,158.9,25.3,663.8,22,10.5,47.5,9.78,44.4,396,2232.9,1129.3,23.2,15.5,7.96,16.5,9.3,452.4,43.2
Swansea City,30,54.8,46,652,68.8,229.8,294.5,132.8,18.7,651.8,15.6,6.37,40.9,7.74,49.7,359.5,1945.4,976.3,17.8,11.2,3.43,15.2,7.85,431.8,36.2
Watford,27,51.9,46,618.6,64.9,209.1,272.4,142.8,21.1,618.6,18.2,8.43,46.3,8.54,46.9,341.9,1885.3,945.5,18,12.2,5.15,17.2,8.78,397.6,40.2
West Brom,28,52.2,46,617.9,64.3,206.1,271.2,145.7,19.4,617.8,17,7.39,43.5,8.22,48.3,343,1874.6,952.7,18.6,12.7,4.02,15.6,8.7,409,36.4
