Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Birmingham City,30,25.9,44.1,46,506,"4,140",46,1.04,0.65,1.7,1,0.04,0.07,2.2,0.07,1.07,1.01,0.77,1.78,16.3,30.4
Blackburn,31,24.8,51.6,46,506,"4,140",46,1.28,1.04,2.33,1.28,0,0.02,2.09,0.11,1.32,1.31,1.04,2.35,14.2,44
Bristol City,26,25.7,47.8,46,506,"4,140",46,1.13,0.61,1.74,0.98,0.15,0.15,1.54,0.02,1.12,1.01,0.71,1.72,15.9,33.1
Cardiff City,34,26.8,45.5,46,506,"4,140",46,1.04,0.74,1.78,1,0.04,0.04,1.76,0.02,0.95,0.91,0.7,1.61,13.7,28.5
Coventry City,26,25.7,51.3,46,506,"4,140",46,1.43,0.85,2.28,1.37,0.07,0.13,1.93,0.07,1.39,1.28,0.95,2.23,17.6,42.7
Huddersfield,33,26.4,40,46,506,"4,140",46,1,0.74,1.74,0.98,0.02,0.02,1.93,0.04,1.06,1.04,0.8,1.84,14.3,28.9
Hull City,33,25.4,55.4,46,506,"4,140",46,1.48,0.89,2.37,1.39,0.09,0.15,2.11,0.02,1.24,1.12,0.84,1.96,17.7,35.8
Ipswich Town,32,26.9,53,46,506,"4,140",46,1.91,1.37,3.28,1.87,0.04,0.07,2.2,0,1.61,1.56,1.21,2.77,18.3,41.7
Leeds United,33,24,58.2,46,506,"4,140",46,1.7,1.22,2.91,1.54,0.15,0.2,1.59,0.04,1.73,1.58,1.25,2.83,22.3,46.2
Leicester City,27,25.9,61.6,46,506,"4,140",46,1.91,1.24,3.15,1.65,0.26,0.28,1.8,0.02,1.85,1.62,1.29,2.91,22.6,48.4
Middlesbrough,35,25.6,52.9,46,506,"4,140",46,1.5,1.22,2.72,1.46,0.04,0.11,1.85,0.04,1.48,1.39,1.16,2.55,20.1,44.6
Millwall,27,27,42.3,46,506,"4,140",46,0.96,0.65,1.61,0.93,0.02,0.04,2.24,0.04,0.95,0.92,0.68,1.6,12.3,28.1
Norwich City,31,27.3,49.3,46,506,"4,140",46,1.65,1.13,2.78,1.61,0.04,0.07,1.83,0.04,1.37,1.32,0.99,2.31,16.8,34.4
Plymouth Argyle,31,24.5,45,46,506,"4,140",46,1.26,0.85,2.11,1.24,0.02,0.02,2.2,0.04,1.14,1.12,0.82,1.94,16.8,31.9
Preston,28,27.2,44.6,46,506,"4,140",46,1.15,0.83,1.98,1.09,0.07,0.07,2.37,0.02,0.88,0.83,0.61,1.44,12.3,28.8
QPR,30,27.4,46.3,46,506,"4,140",46,0.96,0.65,1.61,0.93,0.02,0.04,2.15,0.09,0.96,0.93,0.68,1.61,16.1,29
Rotherham Utd,35,26.9,37.2,46,506,"4,140",46,0.8,0.5,1.3,0.76,0.04,0.04,1.91,0.09,0.69,0.65,0.47,1.12,10.8,20.9
Sheffield Weds,33,27.3,43.4,46,506,"4,140",46,0.93,0.72,1.65,0.93,0,0,2.35,0.11,1.09,1.09,0.83,1.92,13.2,27.2
Southampton,28,25.4,65.5,46,506,"4,140",46,1.85,1.26,3.11,1.76,0.09,0.11,2.24,0.07,1.73,1.65,1.23,2.88,26.2,55.6
Stoke City,35,25.4,50.6,46,506,"4,140",46,1,0.76,1.76,0.98,0.02,0.09,2.46,0.07,1.17,1.1,0.87,1.97,15.5,40.8
Sunderland,32,22.6,55.4,46,506,"4,140",46,1.11,0.74,1.85,0.98,0.13,0.13,2.07,0.04,1.34,1.24,0.94,2.18,23.2,43.7
Swansea City,30,25.3,54.8,46,506,"4,140",46,1.24,0.87,2.11,1.15,0.09,0.15,2.09,0.09,1.28,1.16,0.92,2.08,17.8,36.7
Watford,27,25.5,51.9,46,506,"4,140",46,1.33,0.98,2.3,1.3,0.02,0.02,2.26,0.07,1.16,1.14,0.92,2.06,18,40.6
West Brom,28,28,52.2,46,506,"4,140",46,1.48,0.98,2.46,1.37,0.11,0.11,1.72,0.02,1.31,1.22,0.93,2.15,18.6,36.8
