#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
1,Chelsea FC,England Premier League,464100000,30,282200000,32,-181900000
2,Tottenham Hotspur,England Premier League,272100000,27,120700000,22,-151400000
3,Manchester City,England Premier League,259600000,19,138800000,21,-120800000
4,Arsenal FC,England Premier League,235100000,15,69200000,16,-165900000
5,Manchester United,England Premier League,210700000,14,63770000,23,-146930000
6,Liverpool FC,England Premier League,172000000,12,60700000,16,-111300000
7,Newcastle United,England Premier League,150000000,15,44600000,14,-105400000
8,West Ham United,England Premier League,144560000,10,172860000,11,28300000
9,Nottingham Forest,England Premier League,131630000,35,82820000,41,-48810000
10,AFC Bournemouth,England Premier League,129890000,23,1500000,21,-128390000
11,Aston Villa,England Premier League,111500000,14,33160000,14,-78340000
12,Burnley FC,England Premier League,111050000,31,3800000,22,-107250000
13,Brighton & Hove Albion,England Premier League,106850000,28,189000000,22,82150000
14,Wolverhampton Wanderers,England Premier League,94000000,26,169200000,31,75200000
15,Fulham FC,England Premier League,73170000,15,53200000,16,-19970000
16,Brentford FC,England Premier League,72350000,19,10250000,16,-62100000
17,Crystal Palace,England Premier League,67800000,9,0,9,-67800000
18,Sheffield United,England Premier League,66950000,18,30900000,15,-36050000
19,Everton FC,England Premier League,40500000,16,82800000,16,42300000
20,Luton Town,England Premier League,25900000,28,300000.00,26,-25600000
