Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Max Aarons,eng ENG,DF,Bournemouth,23,2000,20,1237,62,36.2,13.7,13,85,9,7,19,5,0.8,0.88,2.48,-1.61,-1.6,-1.97,1.04,1.98,-0.93,-0.94,-1.37
Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,1,6,6,0.2,0.1,0,,0,1,6,3,3,0,0,0,0,-0.37,0,6,-5,-7.7,-8.15
Tyler Adams,us USA,MF,Bournemouth,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2,3.08,2.31,0.77,0.74,1.13,1.62,1.15,0.46,0.43,0.51
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20,1617,81,47.3,18,18,90,17,2,2,2,1.4,1.56,1.39,0.17,0.17,0.62,1.53,1.56,-0.03,-0.03,0.56
Tayo Adaramola,ie IRL,"DF,MF",Crystal Palace,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,27,1419,53,41.5,15.8,16,77,5,11,16,0,0.78,1.9,2.28,-0.38,-0.38,0.83,1.41,1.8,-0.4,-0.4,0.92
Val Adedokun,ie IRL,FW,Brentford,20,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Simon Adingra,ci CIV,FW,Brighton,21,2002,31,2222,72,65,24.7,25,83,10,6,26,1,1.19,1.38,1.54,-0.16,-0.16,0.06,1.37,1.45,-0.08,-0.08,-0.34
Adrián,es ESP,GK,Liverpool,36,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,
Nayef Aguerd,ma MAR,DF,West Ham,27,1996,21,1857,88,54.3,20.6,21,88,19,0,,4,1.19,1.26,2.14,-0.87,-0.87,-1.1,1.21,1.85,-0.64,-0.64,-0.32
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,1,5,5,0.1,0.1,0,,0,1,5,3,0,0,0,0,0,0.47,0,0,0,0,0.09
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,20,349,17,10.2,3.9,0,,0,20,17,14,0.85,3.33,3.59,-0.26,-0.26,-0.26,2.56,2.21,0.36,0.35,0.49
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,31,2649,85,77.5,29.4,29,89,27,2,34,0,0.35,0.95,3.03,-2.07,-2.07,-1.14,1.09,2.09,-1,-1,0.02
Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,22,1692,77,49.5,18.8,20,84,9,2,5,3,1,1.44,2.07,-0.64,-0.64,-0.33,1.23,1.52,-0.29,-0.29,-0.39
Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,33,2329,71,68.1,25.9,29,76,10,4,30,0,1.21,1.39,1.66,-0.27,-0.27,0.39,1.27,1.76,-0.49,-0.49,0.19
Kristoffer Ajer,no NOR,DF,Brentford,25,1998,28,1832,65,53.6,20.4,21,84,13,7,11,1,1.14,1.37,1.62,-0.25,-0.25,-0.02,1.59,1.45,0.14,0.14,0.18
Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,30,2511,84,73.4,27.9,28,88,25,2,23,4,2.4,2.58,0.82,1.76,1.76,0.47,2.05,0.96,1.09,1.09,-0.35
Nathan Aké,nl NED,DF,Manchester City,28,1995,29,2042,70,59.7,22.7,24,83,19,5,12,6,2.38,2.42,0.88,1.54,1.54,-0.22,1.93,0.95,0.98,0.98,-0.51
Thiago Alcántara,es ESP,MF,Liverpool,32,1991,1,6,6,0.2,0.1,0,,0,1,6,0,0,0,10,-10,-15,-16.21,0,0,0,-0.62,-1.73
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,28,2155,77,63,23.9,25,83,14,3,28,0,2,2.22,1.17,1.05,1.04,-0.38,2.28,1.19,1.09,1.09,-0.05
Alisson,br BRA,GK,Liverpool,30,1992,28,2520,90,73.7,28,28,90,28,0,,0,2,2.14,1.07,1.07,1.07,-0.43,2.22,1.26,0.95,0.95,-0.58
Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,33,1937,59,56.6,21.5,23,74,5,10,23,0,1.52,1.86,1.86,0,0,-1.4,1.82,1.74,0.08,0.08,-0.7
Edson Álvarez,mx MEX,MF,West Ham,25,1997,31,2377,77,69.5,26.4,28,82,18,3,25,1,1.48,1.52,1.7,-0.19,-0.19,0.59,1.34,1.86,-0.52,-0.52,-0.07
Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,36,2647,74,77.4,29.4,31,83,15,5,13,2,2.42,2.59,0.82,1.77,1.77,0.6,2.09,0.88,1.21,1.21,0.11
Steven Alzate,co COL,MF,Brighton,24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Harry Amass,eng ENG,"DF,MF",Manchester Utd,16,2007,0,,,,,0,,0,0,,6,,,,,,,,,,,
Zeki Amdouni,ch SUI,FW,Burnley,22,2000,34,1953,57,57.1,21.7,27,69,2,7,14,4,0.62,0.92,1.89,-0.97,-0.97,0.01,0.9,1.67,-0.77,-0.77,0.03
Jordan Amissah,gh GHA,GK,Sheffield Utd,21,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,
Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,21,938,45,27.4,10.4,10,83,6,11,10,8,1.71,0.77,1.44,-0.67,-0.67,-0.89,1.38,1.84,-0.45,-0.45,-0.17
Joseph Anang,gh GHA,GK,West Ham,23,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,
Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,38,3415,90,99.9,37.9,38,90,36,0,,0,1.29,1.5,1.53,-0.03,-0.03,-0.03,1.28,1.37,-0.09,-0.09,-0.09
Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,21,1027,49,30,11.4,10,80,3,11,21,0,1.86,2.63,1.23,1.4,1.4,1.14,2.27,1.07,1.2,1.2,1.17
Vincent Angelini,sct SCO,GK,Brentford,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,3,152,51,4.4,1.7,2,61,0,1,31,0,0.33,0.59,2.94,-2.35,-2.37,-2.12,0.35,2.59,-2.24,-2.27,-2.31
Michail Antonio,jm JAM,FW,West Ham,33,1990,26,1695,65,49.6,18.8,21,75,2,5,26,0,1.27,1.76,1.81,-0.05,-0.05,0.63,1.44,1.87,-0.43,-0.42,0.14
Antony,br BRA,FW,Manchester Utd,23,2000,29,1324,46,38.7,14.7,15,73,3,14,16,4,1.41,1.36,1.77,-0.41,-0.41,-0.62,1.73,1.73,0.01,0.01,0.55
Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,12,943,79,27.6,10.5,11,83,7,1,27,2,0.25,1.24,2.67,-1.43,-1.43,0.53,1.33,1.92,-0.59,-0.59,0.57
Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,29,1832,63,53.6,20.4,21,80,9,8,19,0,0.48,1.08,2.45,-1.37,-1.38,0.95,1.16,2.04,-0.88,-0.88,0.27
