Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38,0.76,0.05,0.03,0.16,0.03,0.63,0.26,-0.1,-0.1,4.13,11.6,35.6,27.8,4.97,35.1,30.7,5.13,35.9,31.1,9.87,1.26,12.8,1.55,1.55,17.9
Aston Villa,2,38,1.61,0.03,0.03,0.26,0.11,1.62,0.35,0.12,0.12,3.58,10,35.8,36.5,4.63,21.8,27.1,6.47,31.7,29.5,11,1.34,12.2,1.84,1.84,8.4
Bournemouth,3,38,1.76,0.16,0.03,0.16,0.03,1.66,0.3,-0.07,-0.07,5.24,15.3,34.3,25.7,4.66,44,41.7,7,57.1,43.9,12.9,0.82,6.3,0.97,0.97,14.8
Brentford,2,38,1.71,0.05,0,0.16,0,1.5,0.3,-0.21,-0.21,6.68,17.8,37.5,35,3.58,37.1,35.8,8.37,57.5,44.9,15.9,1.21,7.6,1,1,10
Brighton,2,38,1.63,0.16,0.03,0.21,0.05,1.34,0.28,-0.23,-0.23,2.68,7.21,37.2,33.6,4.89,20.3,24.4,6.68,5.9,12,10.7,0.63,5.9,1.89,1.89,15.8
Burnley,2,38,2.05,0.16,0,0.29,0.08,1.99,0.29,0.02,0.02,5.66,21.7,26.1,48.1,5.68,35.6,34.3,7.47,61.6,44.7,14.8,1.32,8.9,1.95,1.95,17.2
Chelsea,2,38,1.66,0.08,0,0.21,0.08,1.38,0.27,-0.2,-0.2,3.37,9.5,35.5,29.7,4.84,22.5,27.8,7.42,37.9,32.6,13.5,1.03,7.6,1.24,1.24,12.7
Crystal Palace,3,38,1.53,0.08,0,0.18,0.05,1.25,0.29,-0.22,-0.22,4.63,15.9,29.1,21.7,3.03,51.8,41.2,6.71,69.4,49.2,15.4,0.79,5.1,0.76,0.76,11.2
Everton,1,38,1.34,0.21,0,0.24,0.08,1.38,0.28,0.12,0.12,9.47,23.7,40,34.1,3.71,56.7,41.6,7.21,60.6,48.2,15,0.79,5.3,1.42,1.42,15.9
Fulham,1,38,1.61,0.21,0.05,0.08,0.11,1.47,0.26,-0.03,-0.03,3.79,11.6,32.8,33.5,4.39,25.5,28.5,7.92,38.2,33,12.4,0.5,4,1.05,1.05,14.2
Liverpool,2,38,1.08,0.03,0,0.18,0.05,1.05,0.27,0.03,0.03,2.42,7.5,32.3,35.5,5.05,17,24.7,6,24.6,27.5,9.89,0.47,4.8,1.21,1.21,17.7
Luton Town,2,38,2.24,0.11,0,0.34,0.11,2.04,0.34,-0.09,-0.09,7.21,21.4,33.7,29.5,3.97,52.4,50.8,9.18,64.8,46.8,14.8,0.42,2.9,2.03,2.03,19
Manchester City,2,38,0.89,0.08,0,0.08,0.03,0.95,0.31,0.08,0.08,3.74,8.26,45.2,35.3,4.24,19.7,27.9,4.16,31,31.9,8.21,0.82,9.9,1.66,1.66,16.8
Manchester Utd,1,38,1.53,0.18,0.03,0.29,0.03,1.57,0.27,0.07,0.07,3.92,13.5,29,31.2,3.68,35.4,31.2,8.66,28.6,26,15.8,1.11,7,0.97,0.97,12.9
Newcastle Utd,3,38,1.63,0.11,0.03,0.21,0.03,1.61,0.29,0,0,2.63,7.92,33.2,21.1,6.21,18.8,36.3,7.39,53.4,40.5,11.8,0.79,6.7,1.39,1.39,19.5
Nott'ham Forest,3,38,1.76,0.11,0.03,0.39,0.05,1.24,0.27,-0.47,-0.47,6.03,13.7,44.1,21.5,4.5,42.5,35.7,8,56.3,41.4,16.1,1.16,7.2,0.63,0.63,13.3
Sheffield Utd,2,38,2.74,0.13,0,0.32,0.18,2.24,0.31,-0.31,-0.31,7.11,21.5,33,26,3.32,55.2,41.2,9.26,77,53.9,17.4,1.03,5.9,1.47,1.47,14.4
Tottenham,1,38,1.61,0.18,0.03,0.21,0.08,1.58,0.32,0.05,0.05,1.39,5.92,23.6,34.4,5.08,14.9,24,6.74,11.7,19.4,13.4,0.87,6.5,2.13,2.13,17.1
West Ham,2,38,1.95,0.21,0,0.16,0.11,1.89,0.26,0.05,0.05,5.53,14.6,38,20.9,4.95,46.8,39,8.08,59.3,43.4,15.3,0.92,6,0.21,0.21,7.6
Wolves,2,38,1.71,0.21,0.03,0.18,0.03,1.89,0.32,0.2,0.2,2.63,12.6,20.8,24.6,5.24,34.3,33.8,8.03,52.5,40,15.1,1.18,7.9,0.82,0.82,13.3
