Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Arsenal,25,38,31.2,31.18,24.4,2.16,1.53,1.74,0.87,0.53,4,4,2.74,0.42,0.21,0.29,0.34,0
Aston Villa,31,38,24,24,17.6,2.03,1.24,1.92,0.82,0.37,3.39,3.39,2.42,0.21,0.21,0.26,0.21,0.08
Bournemouth,30,38,25.1,25.05,18.4,1.84,1.68,1.5,0.89,0.71,2.18,2.18,1.63,0.08,0.13,0.16,0.08,0.11
Brentford,28,38,21.2,21.16,14.7,2.68,0.89,1.45,1.11,0.37,2.13,2.13,1.5,0.18,0.08,0.21,0.16,0
Brighton,30,38,26.6,26.58,19.7,2.29,1.42,1.87,1,0.29,2.34,2.34,1.55,0.13,0.24,0.24,0.16,0.03
Burnley,31,38,19.9,19.92,14.4,1.95,1.29,1.18,0.82,0.24,1.95,1.95,1.45,0.16,0.21,0.05,0.08,0
Chelsea,32,38,25.8,25.79,18.9,1.63,2,1.21,1.32,0.68,3.5,3.5,2.34,0.18,0.29,0.26,0.32,0.11
Crystal Palace,26,38,20.9,20.89,14.6,1.95,1.26,1.32,1.18,0.61,2.71,2.71,2.24,0.11,0.16,0.05,0.16,0
Everton,26,38,22.5,22.47,15.6,2.16,0.82,2,1.08,0.84,1.58,1.58,0.87,0.13,0,0.34,0.13,0.11
Fulham,25,38,23.1,23.08,17.2,2.08,1.05,1.76,0.63,0.39,2.5,2.5,1.92,0.16,0.11,0.21,0.08,0.03
Liverpool,30,38,36.5,36.53,27.5,3.05,1.74,2.66,1.13,0.45,3.45,3.45,2.53,0.21,0.24,0.26,0.18,0.03
Luton Town,28,38,19.7,19.71,13.3,1.92,1.55,1.45,1.21,0.32,2.13,2.13,1.21,0.18,0.16,0.42,0.16,0
Manchester City,25,38,33.1,33.13,26.1,1.71,1.71,1.76,1.42,0.45,4.45,4.45,3.29,0.13,0.37,0.26,0.34,0.05
Manchester Utd,31,38,26,26.03,19.6,2.08,1.45,1.37,1,0.58,2.58,2.58,1.79,0.11,0.21,0.18,0.16,0.13
Newcastle Utd,32,38,25.9,25.87,18.8,1.82,1.89,1.76,1.21,0.42,3.79,3.79,2.37,0.18,0.47,0.34,0.34,0.08
Nott'ham Forest,33,38,20.6,20.61,14.9,1.76,1.29,1.47,0.84,0.34,2.37,2.37,1.84,0.13,0.18,0.08,0.08,0.05
Sheffield Utd,35,38,15.8,15.82,11.2,1.55,1.03,1.18,0.58,0.29,1.26,1.26,0.84,0.05,0.11,0.16,0.08,0.03
Tottenham,29,38,27.7,27.71,21.5,1.58,1.58,1.61,0.82,0.61,3.21,3.21,2.53,0.18,0.18,0.13,0.08,0.11
West Ham,26,38,20.6,20.58,13.6,2.39,1.53,1.13,1.24,0.66,2.74,2.74,1.84,0.29,0.21,0.21,0.11,0.08
Wolves,27,38,19.6,19.55,13.7,1.76,1.39,1.24,1.11,0.39,2.13,2.13,1.37,0.18,0.18,0.16,0.18,0.05
