Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arouca,31,34,15.6,9.97,7.5,6,2.09,8.56,17.8,48.2,9.21,10.6,2.71,7.91,7.71,23.3,18.7,0.24
Benfica,34,34,19.3,12.4,8.03,7.94,3.35,10.1,19.3,52.2,9.24,11.7,2.56,9.12,8.76,28.1,13.4,0.29
Boavista,23,34,16.3,10.1,8.21,6.74,1.35,8.26,16.3,50.7,8.03,10.2,3.5,6.74,8.03,24.3,20.7,0.44
Braga,25,34,15.2,9.21,6.62,6.97,1.65,7.38,15.8,46.8,8.38,9.65,2.44,7.21,9.12,24.4,17.4,0.47
Casa Pia,32,34,14.7,9.74,7.29,5.56,1.82,7.94,16.5,48.2,8.53,10.8,2.91,7.85,8.41,23.1,20.9,0.21
Chaves,31,34,13.9,8.29,7.35,5.18,1.38,7.47,14.9,50.3,7.38,10.7,3.18,7.53,8.65,22.6,21.5,0.35
Estoril,31,34,15.8,9.85,7.32,6.71,1.79,7.68,15.9,48.4,8.18,10.6,3.32,7.24,7.91,23.7,20.2,0.53
Estrela,34,34,16.9,11.2,7.79,7.12,1.97,9.24,17.1,54,7.88,11.5,3.38,8.09,8.26,25.1,20.9,0.26
Famalicão,27,34,16.1,10.6,8.41,5.79,1.91,7.94,15.7,50.6,7.76,10.9,3.15,7.79,8.79,24.9,20.2,0.21
Farense,25,34,15.1,9.35,8.06,5.85,1.24,7.18,15.3,47,8.09,13.9,5.15,8.74,9.76,24.9,29.5,0.15
Gil Vicente FC,31,34,15.9,10,7.68,6.06,2.15,8.5,15.9,53.6,7.35,11,3,7.97,8.91,24.8,19.9,0.44
Moreirense,29,34,15.6,10.1,7.91,5.74,2,7.12,14.7,48.4,7.59,11.2,3.35,7.88,9.35,25,23.4,0.21
Portimonense,31,34,19.4,12.1,10.1,7.5,1.85,9.18,17.5,52.5,8.29,11.8,3.79,8.03,10.5,29.9,23.9,0.29
Porto,32,34,14.2,9.06,5.53,6.41,2.29,7.21,14.5,49.8,7.26,9.06,2.09,6.97,6.32,20.6,12.9,0.18
Rio Ave,33,34,15.9,9.68,7.44,6.85,1.62,8.32,17,49,8.65,11.9,3.5,8.35,8.5,24.4,22.2,0.44
Sporting CP,29,34,16.5,10.4,6.21,7.62,2.71,7.56,14.6,51.8,7.03,8.26,2.06,6.21,6.35,22.9,12.4,0.24
Vitória,27,34,14.9,9.41,7.09,6.03,1.74,8.32,16.3,51,8,10.8,2.29,8.47,8.15,23,18.9,0.21
Vizela,31,34,15.3,9.18,7.71,5.82,1.79,7.56,15.8,47.9,8.21,11.3,3.74,7.56,7.82,23.1,22.5,0.24
