Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arouca,31,34,510.2,457.4,51.3,15.2,1.5,2.88,15.4,22,4.26,2.56,1.06,0.12,409.1,1.62,9.88
Benfica,34,34,605.6,553.1,50.3,12.7,2.68,4.06,19.9,21.4,7.26,3.56,0.97,0.12,507.2,2.24,10.8
Boavista,23,34,445.9,390.9,53.1,15.4,1,4.68,20,21.1,4.35,2.29,1.41,0.09,345.5,2,8.09
Braga,25,34,553.4,500.3,51.4,13.3,1.35,3.18,22.1,22,5.85,1.76,2.44,0.09,452.2,1.82,8.91
Casa Pia,32,34,414.5,361.3,51.3,13.9,1.5,2.79,15.1,20.7,4.71,2.76,1,0.09,319.9,1.97,8.41
Chaves,31,34,394.7,337.9,55.1,15.7,0.76,3.56,19,22.2,4.47,2.03,1.56,0.06,295.7,1.68,7.88
Estoril,31,34,452,398.1,52.2,14,1.32,3.59,16.1,20.9,5.03,2.59,1.44,0.09,357.1,1.59,9.06
Estrela,34,34,433.8,377.8,53.6,13.7,1.12,3.12,18.6,23.7,5.24,4.12,0.65,0,325.3,2.38,8.65
Famalicão,27,34,424.3,369.1,52.9,17,0.74,5.12,20.5,21.2,4.62,3.65,0.5,0,330.5,2.26,7.65
Farense,25,34,385.1,330,53.4,13.6,0.88,3.24,18.9,21.6,4.38,2.53,0.97,0,276.1,1.71,8.97
Gil Vicente FC,31,34,472.5,416.4,54.1,16.1,1.62,2.47,13.9,21.8,4.09,1.82,1.62,0.03,368.4,1.97,8.79
Moreirense,29,34,438.6,385.7,51.2,14.4,1.03,2.24,16.9,21.9,4.32,2.26,1.26,0,341.4,1.79,8.79
Portimonense,31,34,407.5,352.5,53,13.9,0.44,2.76,17.5,22,4.18,1.56,1.65,0,305.6,2.03,8.71
Porto,32,34,572,514.9,55.1,16.9,2.82,3,20.9,22.5,7.62,3.82,0.71,0.03,476.7,2.09,9.32
Rio Ave,33,34,460.7,407.3,51.1,16.5,1.03,3.21,15.9,20.3,3.65,1.26,2,0,361.9,2.32,8.26
Sporting CP,29,34,572.1,520,50.1,14,1.85,2.26,20.3,21.9,6.35,3.12,2.06,0,481.1,1.97,9.79
Vitória,27,34,442.1,386.5,53.2,14.1,1.15,3.06,21.2,22.9,6.5,3.18,1.94,0.06,332.9,2.35,9.68
Vizela,31,34,453.1,395.9,55.6,15.9,1.26,2.74,20.3,22.4,4.76,2.41,1.18,0.06,354.4,1.59,9.41
