Rk,Squad,Number of players,Annual Wages,Estimated
1,Manchester Utd,59,"£ 205,756,000 (€ 243,550,559, $261,729,552)",25%
2,Manchester City,50,"£ 201,032,000 (€ 237,958,824, $255,720,441)",35%
3,Arsenal,52,"£ 166,036,000 (€ 196,534,543, $211,204,180)",12%
4,Chelsea,63,"£ 157,040,000 (€ 185,886,099, $199,760,922)",57%
5,Liverpool,50,"£ 136,240,000 (€ 161,265,423, $173,302,521)",48%
6,Tottenham,61,"£ 117,520,000 (€ 139,106,817, $149,489,960)",39%
7,Aston Villa,53,"£ 117,150,000 (€ 138,668,852, $149,019,306)",50%
8,West Ham,49,"£ 95,316,000 (€ 112,824,244, $121,245,618)",38%
9,Newcastle Utd,59,"£ 84,500,000 (€ 100,021,494, $107,487,250)",41%
10,Everton,48,"£ 78,978,000 (€ 93,485,180, $100,463,054)",57%
11,Nott'ham Forest,74,"£ 72,050,000 (€ 85,284,601, $91,650,371)",86%
12,Crystal Palace,54,"£ 69,050,000 (€ 81,733,540, $87,834,256)",65%
13,Fulham,52,"£ 66,690,000 (€ 78,940,040, $84,832,245)",69%
14,Brighton,55,"£ 62,400,000 (€ 73,862,025, $79,375,200)",78%
15,Bournemouth,61,"£ 54,834,000 (€ 64,906,255, $69,750,957)",79%
16,Wolves,51,"£ 53,820,000 (€ 63,705,996, $68,461,110)",76%
17,Brentford,59,"£ 39,936,000 (€ 47,271,698, $50,800,128)",93%
18,Burnley,69,"£ 38,506,000 (€ 45,579,026, $48,981,113)",86%
19,Sheffield Utd,61,"£ 28,756,000 (€ 34,038,085, $36,578,738)",66%
20,Luton Town,56,"£ 24,570,000 (€ 29,083,174, $31,253,985)",89%
