#,Club,Expenditure,Arrivals,Income,Departures,Balance
1,Chelsea FC,281900000,32,236400000,32,-45500000
2,Brighton & Hove Albion,281450000,23,49990000,25,-231460000
3,Manchester United,246300000,15,117200000,17,-129100000
4,Manchester City,243000000,15,141700000,13,-101300000
5,Aston Villa,214200000,20,257170000,25,42970000
6,Tottenham Hotspur,185350000,17,56300000,17,-129050000
7,Ipswich Town,152590000,17,2360000,18,-150230000
8,West Ham United,144400000,17,46150000,14,-98250000
9,AFC Bournemouth,134900000,17,66090000,23,-68820000
10,Southampton FC,123050000,30,41590000,19,-81460000
11,Wolverhampton Wanderers,119400000,22,116200000,16,-3210000
12,Arsenal FC,108900000,10,83790000,13,-25110000
13,Nottingham Forest,105500000,26,86700000,32,-18800000
14,Brentford FC,98400000,14,74500000,18,-23900000
15,Crystal Palace,91900000,16,100700000,17,8800000
16,Fulham FC,91550000,13,68800000,12,-22750000
17,Leicester City,91050000,14,47250000,13,-43800000
18,Newcastle United,68200000,9,89550000,14,21350000
19,Everton FC,50200000,11,84150000,12,33950000
20,Liverpool FC,42000000,11,47000000,13,5000000
