Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,goal_kick_att,goal_kick_launch%,goal_kick_avgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Angers,2,34,1.56,0.12,0,0.21,0,1.94,0.34,0.38,0.38,4.29,13.1,32.7,22.4,5.41,39,39,8.32,52.7,42.1,16.2,1.44,8.9,0.65,0.65,16.8
Auxerre,2,34,1.5,0.18,0,0.21,0.09,1.74,0.31,0.33,0.33,6.5,20,32.5,27.8,5.24,54.6,40.3,7.18,67.6,49.8,16.4,0.91,5.6,1.24,1.24,13.1
Brest,2,34,1.74,0.24,0.03,0.15,0.06,1.44,0.3,-0.24,-0.23,6.59,15.9,41.3,27.8,4.15,41.9,31.4,7.12,60.3,46.2,14.4,1,7,1.65,1.65,18.5
Le Havre,2,34,2.09,0.15,0.03,0.24,0.03,2.14,0.4,0.09,0.09,3.97,9.82,40.4,24,4.32,31,32.4,7,34,31.1,16.1,0.97,6,0.44,0.44,10.5
Lens,3,34,1.15,0.24,0.06,0.12,0,1.41,0.29,0.27,0.27,4.18,10,41.8,25.1,4.76,31.7,33.2,5.91,34.8,31,11.2,1.21,10.8,1,1,9.4
Lille,1,34,1.06,0.12,0,0.18,0.03,1.24,0.32,0.21,0.21,3.29,8.47,38.9,25.7,4.24,28.4,29.6,6.06,19.4,24.5,11,0.62,5.6,0.71,0.71,13.9
Lyon,2,34,1.35,0.09,0.03,0.18,0,1.45,0.29,0.09,0.09,3,9.24,32.5,24.9,5.44,29.7,27.5,6.41,28.4,28.9,12.4,0.76,6.2,0.85,0.85,7
Marseille,1,34,1.38,0.09,0.03,0.12,0.06,1.4,0.33,0.07,0.07,2.71,5.94,45.5,30.1,3.91,16.1,24.4,5.26,20.7,22.5,9.09,0.82,9.1,1.74,1.74,18.3
Monaco,2,34,1.21,0.09,0.03,0.09,0,1.13,0.29,-0.08,-0.08,2.26,7.91,28.6,21.7,4.29,27.1,30.5,6.35,31.9,31.9,11.1,0.88,7.9,1.12,1.12,14
Montpellier,2,34,2.32,0.24,0,0.15,0.09,1.95,0.3,-0.29,-0.29,5.79,14.6,39.7,24.7,3.94,45.1,34.5,7.97,43.2,35.4,13.6,0.82,6,0.85,0.85,13.3
Nantes,3,34,1.53,0.21,0,0.12,0.09,1.49,0.31,0.05,0.05,4.44,13.6,32.6,23.8,4.09,39.9,34.4,7.06,58.3,41.5,17.3,0.97,5.6,0.44,0.44,10.9
Nice,1,34,1.21,0.06,0,0.12,0.03,1.26,0.26,0.09,0.09,3.29,8,41.2,25.8,5.09,24.5,28.6,6.85,24.5,25.3,13.8,1.15,8.3,0.97,0.97,12.8
Paris S-G,3,34,1.03,0.09,0.03,0.18,0.03,0.89,0.28,-0.11,-0.11,2.18,5.53,39.4,24.1,4.12,17.8,25.4,4.59,26.9,26.4,8.76,0.47,5.4,1,1,15.6
Reims,1,34,1.38,0.12,0.03,0.24,0,1.81,0.33,0.43,0.43,4.53,14,32.3,27.3,4.5,36.6,33.3,8.38,48.1,37.3,16.3,0.91,5.6,1.24,1.24,14.6
Rennes,3,34,1.47,0.09,0.03,0.18,0.06,1.36,0.31,-0.05,-0.05,3.5,10.6,33,28.5,3.88,29.3,23.8,6.44,35.2,31.5,11.8,0.68,5.7,1.09,1.09,28
Saint-Étienne,1,34,2.26,0.38,0,0.12,0.06,2.16,0.3,-0.04,-0.04,3.85,14.3,27,27,4.26,41,34.7,7.76,41.3,33.6,15,0.71,4.7,0.97,0.97,14
Strasbourg,2,34,1.29,0.24,0,0.09,0.06,1.54,0.27,0.31,0.31,3.62,11.3,32.1,42.2,4.35,22.2,27.4,7.06,27.1,26.3,15.9,1.26,8,1.47,1.47,15.2
Toulouse,3,34,1.26,0.03,0.03,0.15,0.09,1.02,0.31,-0.16,-0.16,2.88,10.3,27.9,21.1,2.85,34.3,30,6.85,45.1,35.4,12.9,0.29,2.3,1.09,1.09,
