Squad,# Pl,90s,Tkl,TklW,def_3rd,mid_3rd,att_3rd,dribb_Tkl,dribb_Att,dribb_Tkl%,dribb_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Angers,30,34,18.4,11.5,10,5.94,2.41,8.65,17.9,48.4,9.21,10.7,3.41,7.32,9.88,28.2,26.6,0.59
Auxerre,29,34,19.3,11.9,9.71,6.82,2.79,9.29,17.8,52.1,8.53,11.6,3.68,7.91,10.3,29.6,27.8,0.5
Brest,30,34,19.3,12.5,8.56,7.5,3.24,9.06,17.1,52.8,8.09,10.7,3.09,7.59,9.29,28.6,25.6,0.41
Le Havre,31,34,18.3,11.4,9.59,6.24,2.44,8.94,16.5,54.1,7.59,10.6,3.85,6.79,9.53,27.8,29,0.71
Lens,33,34,17.8,10.7,7.76,6.85,3.21,8.79,17,51.6,8.24,11.4,2.97,8.41,9.44,27.3,20.7,0.56
Lille,27,34,18.4,10.5,7.09,8.03,3.29,9.15,16.3,56.1,7.15,8.88,2.18,6.71,7.97,26.4,18.7,0.65
Lyon,31,34,16.9,10,7.56,6.76,2.62,9.12,17.5,52.1,8.38,10.2,3.32,6.85,8.29,25.2,20.4,0.74
Marseille,32,34,16.2,10.5,7.18,6.74,2.32,8.06,13.9,58.1,5.82,8,2.06,5.94,8.24,24.5,15.4,0.91
Monaco,28,34,19.7,12.6,8.26,8.44,3,9.97,18.4,54.3,8.38,10.3,2.06,8.24,10.5,30.2,19.6,0.53
Montpellier,35,34,18.6,11.4,8.88,7.76,1.91,9.12,17.9,51,8.76,10.8,3.62,7.21,8.03,26.6,21.6,0.74
Nantes,30,34,19,11.1,9.94,6.59,2.44,9.44,16.6,56.8,7.18,11.8,3.41,8.41,8.32,27.3,29.6,0.29
Nice,31,34,18.6,11.7,8.74,7.12,2.76,8.74,15.7,55.6,6.97,12.3,3.74,8.53,10.7,29.4,23.1,0.94
Paris S-G,28,34,18.2,11.4,7.12,7.82,3.26,9.56,17.9,53.5,8.29,10.6,3.03,7.56,7.79,26,14.5,0.56
Reims,34,34,16.4,10.6,9.21,5.12,2.09,8.38,16.2,51.7,7.82,11.5,4.26,7.26,8.5,24.9,28.2,0.59
Rennes,35,34,17.5,10.7,8.29,6.88,2.35,8.71,15,58,6.29,10.3,2.82,7.47,9.91,27.4,21.7,0.41
Saint-Étienne,32,34,17.1,11.2,8.56,6.35,2.18,8.71,17.5,49.8,8.76,11.9,3.97,7.91,9.65,26.7,25.1,0.76
Strasbourg,30,34,15.8,9.85,7.53,6.26,2,7.56,13.5,56,5.94,11.1,3.26,7.79,8.29,24.1,26.4,0.5
Toulouse,27,34,17.8,10.7,7.76,7.44,2.59,9.35,17.9,52.3,8.53,10,3.03,7,8.26,26.1,22.8,0.44
