Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Angers,30,34,1.44,0.06,0,11.2,11.7,2.03,16.9,9.88,11.5,0.18,0.15,0,41.6,9.82,12.6,43.8
Auxerre,29,34,2,0.12,0.03,11.9,10.6,1.41,15.9,10.3,11.9,0.12,0.24,0.09,43.9,12.1,12.4,49.4
Brest,30,34,2.03,0.09,0.03,12.6,12.1,1.24,18.9,9.29,12.5,0.15,0.29,0.06,43.3,15.7,14.9,51.2
Le Havre,31,34,1.65,0.12,0.03,11.1,11.9,1.47,20.4,9.53,11.4,0.18,0.18,0.03,41.1,13.3,12.8,50.8
Lens,33,34,2.53,0.24,0.09,14.7,10.6,2.47,20.8,9.44,10.7,0.06,0.26,0,46.4,13.2,12.2,52.1
Lille,27,34,2.26,0.06,0.03,12.1,11.1,1.41,15.7,7.97,10.5,0.24,0.12,0.03,45.1,11.5,10.3,52.8
Lyon,31,34,1.76,0,0,12,10.5,2.09,17.6,8.29,10,0.18,0.09,0,41.8,8.97,9.76,47.9
Marseille,32,34,1.88,0.18,0.12,11.6,10.9,1.56,17.9,8.24,10.5,0.15,0.18,0.06,43.7,9.18,7.32,55.6
Monaco,28,34,1.76,0.12,0.06,13.6,13.1,2.03,16.6,10.5,12.6,0.09,0.09,0,51.9,12.5,12.4,50.3
Montpellier,35,34,2.56,0.21,0.06,12.6,12.9,1.91,19,8.03,11.4,0.09,0.26,0.09,39.7,11,13,45.8
Nantes,30,34,2.09,0.12,0,12.1,11.4,0.91,18,8.32,11.1,0.09,0.24,0.09,37.9,12.5,12.9,49.2
Nice,31,34,1.74,0.15,0.06,11.5,12.3,1.65,17.6,10.7,11.7,0.15,0.09,0.03,47.3,12.6,11.8,51.5
Paris S-G,28,34,1.09,0,0,9.03,9.88,1.59,16.5,7.79,11.4,0.18,0.09,0.03,48.6,7.71,6.29,55
Reims,34,34,1.94,0.18,0.06,11.5,10.9,1.74,18,8.5,10.6,0.03,0.15,0,41.4,11.1,12.6,46.8
Rennes,35,34,1.97,0.06,0,13.1,11.2,1.41,17.1,9.91,10.7,0.12,0.18,0.06,42.9,13,11.6,53
Saint-Étienne,32,34,1.91,0.09,0.03,13.2,10.6,1.35,11.8,9.65,11.2,0.12,0.44,0.06,42,10.1,11.4,47
Strasbourg,30,34,2.09,0.09,0.03,11.6,12.3,1.41,14.6,8.29,9.85,0.06,0.26,0.06,42.2,9.97,9.53,51.1
Toulouse,27,34,1.59,0.09,0,13,12.2,1.35,17.1,8.26,10.7,0.12,0.06,0.09,45,12.5,13,49
