Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Angers,30,34,413.4,366.9,44.5,12.4,1.56,2.03,16.9,17.5,3.79,1.53,1.59,0.12,325.9,2.03,7.53
Auxerre,29,34,416.5,371.1,44,13.3,1,4.94,15.9,17.2,3.94,1.44,1.91,0,323.6,1.41,8.44
Brest,30,34,471.2,423.6,46.3,14.3,1.21,3.91,18.9,18.1,4.18,2.09,1.82,0,372.9,1.24,8.59
Le Havre,31,34,415.1,369.9,43.8,13,0.71,2.41,20.4,16.8,3.85,2.62,0.91,0,327.2,1.47,8.06
Lens,33,34,534.5,488.4,43.6,11.6,1.74,2.29,20.8,18.5,5.47,2.56,2.09,0,436.4,2.47,10.2
Lille,27,34,580.2,535.9,42.9,12.2,1.24,2.97,15.7,17.7,4.94,1.47,2.06,0.03,493.1,1.41,9.06
Lyon,31,34,560.7,514.3,44.3,12.2,1.79,3.29,17.6,17.8,5.44,2.32,2.21,0,472.4,2.09,10.4
Marseille,32,34,683.5,638.8,43.2,13.4,1.71,2.21,17.9,17,5.21,2.35,2.03,0,600.8,1.56,9.65
Monaco,28,34,526.9,478.1,46.8,14.5,2.59,2.59,16.6,18.3,5.41,2.56,2.06,0,428.3,2.03,8.47
Montpellier,35,34,424.1,376.1,46.1,13.5,1.32,3.21,19,16.9,4.56,1.62,2.21,0,336.5,1.91,8.12
Nantes,30,34,410.5,363.6,46,12.9,0.82,1.35,18,19.4,4.21,1.97,1.79,0,323.5,0.91,8.24
Nice,31,34,473.6,428.6,43.4,12.9,2.59,1.82,17.6,16.4,5,1.76,2.12,0,386.1,1.65,8.79
Paris S-G,28,34,758.3,714.6,42.1,12.1,2.85,5.15,16.5,17.1,6.35,1.85,2.06,0.03,681.1,1.59,9.06
Reims,34,34,429.5,383.4,44.4,12.7,1.12,2.76,18,16.9,3.94,1.65,1.71,0,342.9,1.74,7.38
Rennes,35,34,497.4,449.2,46.9,14.2,1.09,3.53,17.1,18.8,5,2.53,1.44,0,409.2,1.41,9.03
Saint-Étienne,32,34,469.2,423.2,44.7,12.5,1.5,1.41,11.8,17.4,3.79,1.09,1.62,0,382.4,1.35,7.68
Strasbourg,30,34,513.6,468.5,43.7,14.3,1.71,1.35,14.6,16,4.12,1.88,1.68,0,431.4,1.41,7.44
Toulouse,27,34,437.3,389.1,46.8,13.6,1.29,2.79,17.1,19.3,4.79,2.74,1.53,0,343.4,1.35,8.44
