Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Angers,30,34,325.9,413.4,78.8,5743.6,2160.2,146.2,165.4,88.4,142,166.4,85.4,30.1,60.1,50,0.5,0.69,0.67,-0.19,6.35,22.9,5.88,1.85,28
Auxerre,29,34,323.6,416.5,77.7,5926.3,2280.2,141.5,162.3,87.2,134.6,157.3,85.5,38.3,73.5,52.1,1.03,0.94,0.71,0.09,8.71,23.6,6.24,2,31.9
Brest,30,34,372.9,471.2,79.1,6938.3,2509,155.4,178.1,87.3,164,190.2,86.2,44.9,80.4,55.9,0.94,0.86,0.89,0.08,8.88,27.3,5.56,1.88,32.2
Le Havre,31,34,327.2,415.1,78.8,6035,2119.8,130.7,149.9,87.2,155.6,180,86.4,34,64.2,53,0.62,0.71,0.76,-0.1,6.76,23.1,5.91,2.5,30.9
Lens,33,34,436.4,534.5,81.6,7202.2,2578.1,215.6,241.4,89.3,170.8,196.6,86.9,35.9,63.6,56.4,0.76,1.06,1.21,-0.3,10.7,32.9,10.4,2.94,42.7
Lille,27,34,493.1,580.2,85,8635.1,2756.8,213.2,236.2,90.3,228.1,252,90.5,40.6,64.8,62.7,0.85,1.03,1.18,-0.18,9.35,41,10.1,2.06,47.5
Lyon,31,34,472.4,560.7,84.3,7755.2,2607.8,233.6,257,90.9,194.3,216.8,89.6,32.4,58.2,55.7,1.35,1.31,1.54,0.05,10.3,35.7,10.9,1.71,47.5
Marseille,32,34,600.8,683.5,87.9,9523,2984.9,300.9,323,93.1,251.3,275,91.4,31.2,52.7,59.2,1.44,1.31,1.28,0.13,11.2,44.5,9.56,2.03,50.4
Monaco,28,34,428.3,526.9,81.3,7218,2651.6,202.3,228.9,88.3,182.1,209.1,87.1,33.6,62.8,53.6,1.44,1.63,1.59,-0.19,11.5,36.2,11.5,1.74,48.2
Montpellier,35,34,336.5,424.1,79.3,6198.2,2236.1,142.5,162.6,87.6,144,166.9,86.3,40.7,71.3,57.1,0.38,0.68,0.69,-0.29,7.5,25.7,4.97,2.21,30.6
Nantes,30,34,323.5,410.5,78.8,5826.8,2236.1,139.4,158.2,88.1,143.7,164.9,87.1,32.8,65.8,49.9,0.79,0.82,0.77,-0.02,7.56,25.8,6.35,2.5,31
Nice,31,34,386.1,473.6,81.5,6512.6,2434.8,186.6,208.8,89.4,162,186.4,86.9,29.9,56.1,53.2,1.26,1.26,1.19,0,10.4,28,9.44,1.91,38.8
Paris S-G,28,34,681.1,758.3,89.8,11313.9,3243.5,320.2,341.8,93.7,297,318.1,93.4,47.7,66.7,71.6,2.03,2.08,1.8,-0.05,15.3,54.4,13.2,2.09,62.4
Reims,34,34,342.9,429.5,79.8,5983.1,2220.3,157,177,88.7,143.2,165.5,86.5,32.6,63.2,51.6,0.56,0.78,0.84,-0.22,8.12,25.3,6.59,2.35,34
Rennes,35,34,409.2,497.4,82.3,7205.3,2492.7,178.1,200.3,88.9,184.6,209.9,87.9,36.6,62.7,58.4,0.94,0.87,0.96,0.07,9.35,31.9,7.79,1.82,42.4
Saint-Étienne,32,34,382.4,469.2,81.5,6417.1,2367.5,183.1,203.3,90,161.4,184.3,87.6,28.6,58.7,48.7,0.82,0.72,0.78,0.1,7.91,30.1,6.97,1,37.1
Strasbourg,30,34,431.4,513.6,84,7429.6,2584.3,189.2,208.7,90.7,205.6,230.3,89.2,29.4,55.4,53,1.26,1.13,0.96,0.13,8.03,26.4,6.35,1.47,35.4
Toulouse,27,34,343.4,437.3,78.5,5990.4,2203.5,152.4,175.1,87,154.7,179.9,86,28.4,59.6,47.6,1,1.02,1.12,-0.02,8.74,25.9,8.35,1.91,35.9
