Squad,# Pl,Poss,90s,Touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,take_on_Att,take_on_Succ,take_on_Succ%,take_on_Tkld,take_on_Tkld%,Carries,carries_TotDist,carries_PrgDist,carries_PrgC,carries_1/3,carries_CPA,carries_Mis,carries_Dis,Rec,PrgR
Angers,30,41.2,34,527,63.1,193.9,227.4,112.1,15.1,526.9,18,7.32,40.6,9.74,54,276.4,1522.3,792.7,14.8,10.7,2.88,14.5,8.74,323.3,27.7
Auxerre,29,42.5,34,534.9,66.6,198.4,228,114,18.1,534.8,18.3,7.59,41.5,9.53,52.1,297.1,1512.6,734.9,14.2,10.3,4.03,13.3,10.2,321.4,31.7
Brest,30,48.4,34,584.8,65.9,200.6,263.6,125.4,18.9,584.6,14.4,6.15,42.7,7.21,50,307.5,1628,787.4,13.8,10.2,3.44,15,7.24,370.2,31.9
Le Havre,31,43.1,34,528.7,64.6,198.1,230.1,107,17.1,528.4,15.1,6.85,45.5,6.94,46.1,279.6,1539.4,777.8,15.8,10.2,2.74,13.2,9.15,323.9,30.4
Lens,33,54.1,34,652,56.7,186.6,299.6,171.6,24.9,651.8,17.1,7.32,42.8,8.74,51,362.5,1789.3,884.5,16.8,14.1,3.59,16.9,10,433.1,42.4
Lille,27,57.6,34,684.6,56.8,179.4,333.9,176.2,25.1,684.4,17.6,8.32,47.3,8.47,48.2,401.2,2094.2,1099.9,19.7,15.1,4.65,15.1,8.82,488.6,47.1
Lyon,31,56.4,34,665.8,63.4,195.4,305.2,170.9,29.4,665.5,16.1,7,43.6,8.15,50.7,395,1997.8,1082.6,20.9,14.2,5.91,13.4,8.26,467.8,47.1
Marseille,32,63.3,34,782.4,56.7,203.8,399.4,184.4,25,782.1,17.9,8.18,45.8,8.82,49.4,478.2,2222.5,1158.3,19.5,14.7,5.79,13.9,9.21,594.8,50.1
Monaco,28,55,34,643.6,51.3,165.7,321,163.5,28.5,643.4,18,7.82,43.4,8.82,48.9,367.2,1939.7,1012.2,19.7,15.7,5.5,17.7,10,424.9,47.9
Montpellier,35,45.3,34,533.3,60.9,177.5,243,118.6,15.9,533.2,17.9,7.71,43,8.88,49.6,282.8,1606.3,798.5,15.6,10.6,4.06,14.1,8.71,333.8,30.3
Nantes,30,40.4,34,525.7,62.9,180,237.9,112.9,18.9,525.6,15.4,6.68,43.2,8.18,53,279.2,1412.2,698.3,14.8,10.1,4.15,14.3,8.41,321.5,30.7
Nice,31,47.5,34,594.3,63.9,190.8,272.6,138,24.8,594.1,20.2,8.68,42.9,10.2,50.4,321.7,1720.8,970,20.6,12.1,5.03,15.9,9.26,382.7,38.6
Paris S-G,28,68,34,867.7,58.6,197.2,433.4,243,35.6,867.5,23.6,10.7,45.4,11.6,49,536.6,2733.2,1469.1,27.5,20.6,10.2,14.4,9.68,677.3,62.2
Reims,34,44.1,34,548.9,71.7,205.4,226.4,123.9,19.1,548.9,18.5,8.21,44.4,9.18,49.6,293.2,1737.5,903.3,17.2,12.4,4.09,16.9,8.94,339.5,33.5
Rennes,35,50.9,34,608.5,58.8,184.7,283.1,146.2,22.4,608.2,18.9,7.94,42,9.62,50.9,336.4,1807.7,930.7,19.5,12.6,5.47,14.9,10.1,405.5,41.8
Saint-Étienne,32,47.1,34,583.8,71.7,203.4,249.8,135.5,17.6,583.6,16.4,7.03,42.8,8.65,52.7,303.5,1505.3,766.3,15.6,9.82,4.06,16.2,9.09,380,36.9
Strasbourg,30,50.1,34,626.7,75.5,251.6,268.2,112.5,18.1,626.6,18.5,8.29,44.8,8.94,48.3,356.2,1670.8,875,16.6,10.7,5,15.1,7.74,427.4,35
Toulouse,27,45,34,547.2,55.4,177.4,248.2,128.3,23.2,547.1,18.1,8.15,45,9,49.7,306.3,1503.6,776.4,16,10.9,4.56,15.5,9.15,340.2,35.3
