Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Angers,30,34,0.91,9.15,2.68,29.3,9.15,2.68,0.08,0.29,18.3,0.38,0.15,0.18,1.06,0.92,0.1,-0.15,-0.16
Auxerre,29,34,1.38,11,4.24,38.4,11.03,4.24,0.11,0.3,17.5,0.29,0.12,0.15,1.21,1.1,0.1,0.18,0.17
Brest,30,34,1.53,12,4.44,36.9,12.03,4.44,0.11,0.3,17,0.21,0.21,0.26,1.34,1.13,0.1,0.19,0.2
Le Havre,31,34,1.09,9.97,2.85,28.6,9.97,2.85,0.08,0.29,17.8,0.41,0.26,0.29,1.21,0.98,0.1,-0.13,-0.16
Lens,33,34,1.18,14.2,4.35,30.6,14.24,4.35,0.07,0.24,16.7,0.21,0.15,0.15,1.52,1.42,0.1,-0.35,-0.39
Lille,27,34,1.53,12.5,4.53,36.3,12.47,4.53,0.11,0.29,16.6,0.44,0.21,0.29,1.61,1.4,0.12,-0.08,-0.07
Lyon,31,34,1.82,12.8,5.09,39.9,12.76,5.09,0.12,0.31,16.2,0.18,0.24,0.29,1.77,1.54,0.12,0.05,0.04
Marseille,32,34,2.06,14.1,5.44,38.5,14.15,5.44,0.13,0.34,16.7,0.44,0.24,0.29,1.88,1.64,0.12,0.18,0.18
Monaco,28,34,1.85,14.5,5.29,36.5,14.5,5.29,0.12,0.32,15.7,0.26,0.18,0.21,2.14,1.99,0.14,-0.29,-0.31
Montpellier,35,34,0.68,10.9,3.26,29.9,10.91,3.26,0.05,0.18,18.7,0.59,0.09,0.12,0.99,0.89,0.09,-0.31,-0.31
Nantes,30,34,1.15,10.1,3.5,34.5,10.15,3.5,0.1,0.29,15.9,0.12,0.15,0.15,1.15,1.04,0.11,0,-0.04
Nice,31,34,1.82,14.3,5.38,37.7,14.29,5.38,0.12,0.31,16.2,0.41,0.18,0.18,1.81,1.67,0.13,0.01,-0.03
Paris S-G,28,34,2.62,18.5,8,43.3,18.47,8,0.13,0.31,16.3,0.38,0.18,0.21,2.61,2.45,0.14,0,-0.01
Reims,34,34,0.94,11.6,3.26,28.2,11.56,3.26,0.08,0.28,17.6,0.24,0.03,0.06,1.1,1.06,0.09,-0.16,-0.14
Rennes,35,34,1.5,12.4,4.56,36.6,12.44,4.56,0.11,0.3,17.3,0.24,0.15,0.24,1.43,1.26,0.1,0.07,0.1
Saint-Étienne,32,34,1.15,10.8,3.38,31.4,10.76,3.38,0.1,0.31,18.1,0.24,0.09,0.12,1.07,0.98,0.1,0.08,0.08
Strasbourg,30,34,1.59,10.4,4.12,39.5,10.41,4.12,0.15,0.37,16,0.29,0.06,0.06,1.45,1.4,0.14,0.14,0.13
Toulouse,27,34,1.24,11.7,4.26,36.3,11.74,4.26,0.1,0.27,15.4,0.21,0.09,0.12,1.44,1.35,0.12,-0.21,-0.21
