Squad,# Pl,90s,SCA,SCA90,sca_PassLive,sca_PassDead,sca_TO,sca_Sh,sca_Fld,sca_Def,GCA,GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def
Angers,30,34,16.1,16.06,11.4,1.44,0.74,0.97,0.85,0.62,1.62,1.62,1,0.12,0.09,0.12,0.24,0.06
Auxerre,29,34,20.2,20.24,15.1,1.71,1.03,1.12,0.74,0.59,2.56,2.56,1.53,0.29,0.24,0.21,0.26,0.03
Brest,30,34,21.5,21.47,14.6,2.38,0.74,1.41,1.62,0.68,2.5,2.5,1.5,0.18,0.12,0.38,0.24,0.09
Le Havre,31,34,17.3,17.29,11.4,1.68,0.94,1.32,1.56,0.44,1.82,1.82,1.12,0.09,0.12,0.24,0.24,0.03
Lens,33,34,25.3,25.26,19,2.06,1.24,1.94,0.65,0.35,1.91,1.91,1.38,0.06,0.15,0.24,0.06,0.03
Lille,27,34,22.6,22.62,17.1,1.82,0.97,1.53,0.91,0.26,2.47,2.47,1.5,0.12,0.12,0.41,0.26,0.06
Lyon,31,34,23.6,23.59,18.7,1.53,1,1.5,0.71,0.12,3.35,3.35,2.65,0.06,0.21,0.26,0.18,0
Marseille,32,34,25.8,25.82,19.1,2.09,1.62,1.88,0.74,0.44,3.79,3.79,2.91,0.09,0.24,0.24,0.21,0.12
Monaco,28,34,25.5,25.53,19.4,1.97,1.12,1.65,0.91,0.53,3.12,3.12,2.26,0.21,0.12,0.32,0.15,0.06
Montpellier,35,34,18.1,18.06,12.6,1.68,0.94,1,1.29,0.53,1.15,1.15,0.68,0.12,0.15,0.09,0.12,0
Nantes,30,34,18.1,18.12,13,1.74,1.26,1.09,0.68,0.38,1.88,1.88,1.35,0.03,0.24,0.18,0.09,0
Nice,31,34,25.3,25.32,18.4,1.85,1.56,1.79,1.12,0.59,3.09,3.09,2.18,0.24,0.18,0.24,0.24,0.03
Paris S-G,28,34,33.9,33.91,27.1,1.74,1.88,1.74,0.79,0.68,4.65,4.65,3.65,0.12,0.32,0.29,0.18,0.09
Reims,34,34,20.3,20.26,14.9,1.56,1.15,1.47,0.79,0.44,1.68,1.68,1.26,0.09,0.12,0.21,0,0
Rennes,35,34,22.3,22.26,16.4,2.12,1.06,1.35,0.85,0.44,2.44,2.44,1.68,0.15,0.18,0.24,0.15,0.06
Saint-Étienne,32,34,18.5,18.47,13.7,1.29,1.32,1.15,0.71,0.32,1.91,1.91,1.38,0.09,0.18,0.15,0.12,0
Strasbourg,30,34,18.3,18.29,13.4,1.47,1.21,1,0.74,0.47,2.74,2.74,2.09,0.18,0.09,0.18,0.15,0.06
Toulouse,27,34,20.6,20.56,14.2,2.35,1.06,1.26,1.21,0.44,2.29,2.29,1.65,0.18,0.15,0.12,0.18,0.03
