Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Angers,30,27.5,41.2,34,374,"3,060",34,0.91,0.5,1.41,0.76,0.15,0.18,1.44,0.06,1.06,0.92,0.69,1.61,14.8,28
Auxerre,29,25.9,42.5,34,374,"3,060",34,1.38,1.03,2.41,1.26,0.12,0.15,2,0.12,1.21,1.1,0.94,2.04,14.2,31.9
Brest,30,28.2,48.4,34,374,"3,060",34,1.53,0.94,2.47,1.32,0.21,0.26,2.03,0.09,1.34,1.13,0.86,1.99,13.8,32.2
Le Havre,31,26.9,43.1,34,374,"3,060",34,1.09,0.62,1.71,0.82,0.26,0.29,1.65,0.12,1.21,0.98,0.71,1.69,15.8,30.9
Lens,33,27.1,54.1,34,374,"3,060",34,1.18,0.76,1.94,1.03,0.15,0.15,2.53,0.24,1.52,1.42,1.06,2.48,16.8,42.7
Lille,27,26.1,57.6,34,374,"3,060",34,1.53,0.85,2.38,1.32,0.21,0.29,2.26,0.06,1.61,1.4,1.03,2.43,19.7,47.5
Lyon,31,27.4,56.4,34,374,"3,060",34,1.82,1.35,3.18,1.59,0.24,0.29,1.76,0,1.77,1.54,1.31,2.85,20.9,47.5
Marseille,32,26.7,63.3,34,374,"3,060",34,2.06,1.44,3.5,1.82,0.24,0.29,1.88,0.18,1.88,1.64,1.31,2.96,19.5,50.4
Monaco,28,24.4,55,34,374,"3,060",34,1.85,1.44,3.29,1.68,0.18,0.21,1.76,0.12,2.14,1.99,1.63,3.62,19.7,48.2
Montpellier,35,26.1,45.3,34,374,"3,060",34,0.68,0.38,1.06,0.59,0.09,0.12,2.56,0.21,0.99,0.89,0.68,1.57,15.6,30.6
Nantes,30,26.7,40.4,34,374,"3,060",34,1.15,0.79,1.94,1,0.15,0.15,2.09,0.12,1.15,1.04,0.82,1.86,14.8,31
Nice,31,26.4,47.5,34,374,"3,060",34,1.82,1.26,3.09,1.65,0.18,0.18,1.74,0.15,1.81,1.67,1.26,2.94,20.6,38.8
Paris S-G,28,23.6,68,34,374,"3,060",34,2.62,2.03,4.65,2.44,0.18,0.21,1.09,0,2.61,2.45,2.08,4.53,27.5,62.4
Reims,34,24.5,44.1,34,374,"3,060",34,0.94,0.56,1.5,0.91,0.03,0.06,1.94,0.18,1.1,1.06,0.78,1.83,17.2,34
Rennes,35,25.1,50.9,34,374,"3,060",34,1.5,0.94,2.44,1.35,0.15,0.24,1.97,0.06,1.43,1.26,0.87,2.13,19.5,42.4
Saint-Étienne,32,25.9,47.1,34,374,"3,060",34,1.15,0.82,1.97,1.06,0.09,0.12,1.91,0.09,1.07,0.98,0.72,1.7,15.6,37.1
Strasbourg,30,21.4,50.1,34,374,"3,060",34,1.59,1.26,2.85,1.53,0.06,0.06,2.09,0.09,1.45,1.4,1.13,2.54,16.6,35.4
Toulouse,27,25.2,45,34,374,"3,060",34,1.24,1,2.24,1.15,0.09,0.12,1.59,0.09,1.44,1.35,1.02,2.37,16,35.9
