Squad,Manager,Start_Date,End_Date,Matches,W,D,L,PPM
Leicester,Steve Cooper,01/07/2024,24/11/2024,15,4,4,7,1.07
Leicester,Ben Dawson,25/11/2024,30/11/2024,1,0,0,1,0.0
Leicester,Ruud van Nistelrooy,01/12/2024,27/06/2025,27,5,3,19,0.67
Southampton,Russell Martin,01/07/2023,15/12/2024,19,4,2,13,0.74
Southampton,Simon Rusk,15/12/2024,22/12/2024,2,0,1,1,0.5
Southampton,Ivan Juric,23/12/2024,07/04/2025,16,2,1,13,0.44
Arsenal,Mikel Arteta,22/12/2019,Present,58,32,16,10,1.93
Aston Villa,Unai Emery,01/11/2022,Present,57,32,10,15,1.86
Bournemouth,Andoni Iraola,01/07/2023,Present,43,18,11,14,1.51
Brentford,Thomas Frank,16/10/2018,30/06/2025,43,19,8,16,1.51
Brighton,Fabian Hürzeler,01/07/2024,Present,45,21,13,11,1.69
Chelsea,Enzo Maresca,01/07/2024,Present,64,41,9,14,2.06
Crystal Palace,Oliver Glasner,20/02/2024,Present,48,22,14,12,1.67
Everton,Sean Dyche,30/01/2023,09/01/2025,21,4,8,9,0.95
Everton,Leighton Baines,09/01/2025,10/01/2025,1,1,0,0,3.0
Everton,David Moyes,11/01/2025,Present,20,8,7,5,1.55
Fulham,Marco Silva,01/07/2021,Present,44,19,9,16,1.5
Ipswich,Kieran McKenna,20/12/2021,Present,42,6,10,26,0.67
Liverpool,Arne Slot,01/07/2024,Present,56,38,9,9,2.2
Man City,Pep Guardiola,01/07/2016,Present,61,34,10,17,1.84
Man Utd,Erik ten Hag,01/07/2022,28/10/2024,14,4,5,5,1.21
Man Utd,Ruud van Nistelrooy,28/10/2024,11/11/2024,4,3,1,0,2.5
Man Utd,Rúben Amorim,11/11/2024,Present,42,17,8,17,1.4
Newcastle,Eddie Howe,08/11/2021,Present,48,29,6,13,1.94
Nottm Forest,Nuno Espírito Santo,20/12/2023,09/09/2025,42,21,8,13,1.69
Tottenham,Ange Postecoglou,01/07/2023,06/06/2025,59,25,8,26,1.41
West Ham,Julen Lopetegui,01/07/2024,08/01/2025,22,7,5,10,1.18
West Ham,Graham Potter,09/01/2025,27/09/2025,19,5,5,9,1.05
Wolves,Gary O'Neil,09/08/2023,15/12/2024,18,3,3,12,0.67
Wolves,Vítor Pereira,19/12/2024,02/11/2025,25,12,3,10,1.56
Strasbourg,Patrick Vieira,02/07/2023,18/07/2024,0,0,0,0,0.0
Strasbourg,Liam Rosenior,25/07/2024,07/01/2026,37,18,9,10,1.7
PSG,Luis Enrique,05/07/2023,Present,65,49,7,9,2.37
Monaco,Adi Hütter,04/07/2023,10/10/2025,47,23,9,15,1.66
Marseille,Roberto De Zerbi,01/07/2024,Present,36,21,5,10,1.89
Lille,Bruno Génésio,01/07/2024,Present,51,26,12,13,1.76
Lyon,Pierre Sage,30/11/2023,28/01/2025,28,13,8,7,1.68
Lyon,Jorge Maciel,28/01/2025,30/01/2025,1,0,1,0,1.0
Lyon,Paulo Fonseca,31/01/2025,Present,19,11,1,7,1.79
