#,Club,League as at15/07/2024,Value 15/07/2024,Squad size 15/07/2024,Value 01/06/2025,Squad size 01/06/2025,Difference,%
1,Arsenal FC,Premier League,1180000000,26,1100000000,24,-80000000,-7.27%
2,Manchester City,Premier League,1370000000,28,1180000000,28,-190000000,-16.10%
3,Chelsea FC,Premier League,1080000000,42,913800000,31,-166200000,-18.19%
4,Liverpool FC,Premier League,931300000,28,867500000,24,-63800000,-7.35%
5,Tottenham Hotspur,Premier League,818500000,31,766100000,30,-52400000,-6.84%
6,Manchester United,Premier League,786150000,29,643100000,29,-143050000,-22.24%
7,Newcastle United,Premier League,656650000,34,651480000,31,-5170000,-0.79%
8,Nottingham Forest,Premier League,345400000,29,462150000,28,116750000,25.26%
9,Aston Villa,Premier League,646600000,33,592000000,24,-54600000,-9.22%
10,Brighton & Hove Albion,Premier League,589250000,42,555700000,31,-33550000,-6.04%
11,Crystal Palace,Premier League,416500000,27,457500000,31,41000000,8.96%
12,AFC Bournemouth,Premier League,375100000,30,410100000,26,35000000,8.53%
13,Brentford FC,Premier League,420180000,31,414080000,30,-6100000,-1.47%
14,Everton FC,Premier League,339800000,24,349550000,25,9750000,2.79%
15,West Ham United,Premier League,463500000,24,400300000,27,-63200000,-15.79%
16,Southampton FC,Championship,183000000,28,310050000,28,127050000,40.98%
17,Fulham FC,Premier League,246300000,22,351350000,26,105050000,29.90%
18,Wolverhampton Wanderers,Premier League,419780000,35,413900000,34,-5880000,-1.42%
19,Ipswich Town,Championship,40000000,27,192250000,27,152250000,79.19%
20,Leicester City,Championship,144500000,27,162400000,27,17900000,11.02%
