Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerial_won,aerial_lost,aerial_won%
Arsenal,25,38,1.84,0.16,0.08,10.6,10.7,2.11,20.2,5.92,9.16,0.05,0.08,0,37.8,12.4,12.2,50.3
Aston Villa,28,38,2,0.11,0.05,10.7,13.1,1.45,15.9,6.32,9.79,0.16,0.08,0,37.3,9.95,11.1,47.2
Bournemouth,29,38,2.55,0.08,0,13.8,10.5,1.84,21.9,9.24,10.5,0.18,0.11,0,47.9,15.1,15.9,48.6
Brentford,28,38,1.63,0.03,0,8.42,8.92,1.66,17.7,7.5,10,0.16,0.03,0.08,43.3,16.4,14.9,52.4
Brighton,32,38,2.05,0.08,0.05,11.5,10.8,1.21,18.5,8.29,11.3,0.16,0.24,0.05,42.7,13.6,12.2,52.8
Chelsea,29,38,2.66,0.05,0.03,11.5,11.7,1.71,17.4,7.16,9.76,0.13,0.16,0,41.5,10.6,10.3,50.8
Crystal Palace,29,38,2.11,0.11,0.08,11,10.6,1.95,15.9,8.79,11.8,0.11,0.05,0.08,44.7,13.4,16.7,44.6
Everton,26,38,2.16,0.05,0.03,11.3,10.1,2.13,17.9,9.08,11.4,0.03,0.05,0,40.1,16.2,14.8,52.1
Fulham,26,38,2.11,0.05,0,11.4,9.45,1.13,23.5,7.95,10.8,0.08,0.11,0.05,42.4,14,14,50
Ipswich Town,32,38,2.45,0.13,0.11,11.3,10.6,1.37,13.3,7.97,8.95,0.05,0.16,0.05,37.8,14.5,14,50.9
Leicester City,32,38,2.29,0,0,11.1,10.3,1.66,16.3,8.61,11.3,0.08,0.11,0.08,38.9,13.2,15.2,46.5
Liverpool,24,38,1.76,0.08,0.03,11.3,9.45,1.58,19.2,7.87,10.3,0.16,0.05,0.05,42.7,10.7,9.68,52.5
Manchester City,30,38,1.55,0.05,0.03,7.55,10.1,1.18,17.3,6.03,7.87,0.11,0.11,0.05,37.8,8.16,8.79,48.1
Manchester Utd,31,38,2.26,0.08,0.03,10.6,9.76,1.82,16.6,9.42,13,0.11,0.11,0.05,45.7,12.8,12.8,49.9
Newcastle Utd,24,38,1.79,0.03,0,10.4,11.8,1.87,18.6,7.11,9.76,0.11,0.05,0.05,42.9,12.8,12.3,51.1
Nott'ham Forest,23,38,2.37,0.05,0.05,10.6,11,2.39,16.3,8.47,11,0.08,0.08,0,41.8,15,14.7,50.5
Southampton,36,38,2.34,0.08,0,12.1,11.1,1.29,14.4,8.03,9.95,0.05,0.24,0,37.9,12.3,11.1,52.6
Tottenham,31,38,1.89,0.03,0.03,11.7,12.7,1.66,19.8,8.47,10.9,0.11,0.08,0.11,43.7,11.1,11.5,49.1
West Ham,27,38,2.16,0.08,0.05,11.7,10.4,1.92,16.1,8.71,10.2,0.05,0.08,0.08,41,15.4,14.7,51.2
Wolves,32,38,2.08,0.05,0.05,12.6,11.2,1.63,14.9,7.84,12.4,0,0.24,0.08,43.7,11.9,12.5,48.7
