Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,ck_In,ck_Out,ck_Str,Cmp,Off,Blocks
Arsenal,25,38,532.7,489.7,40.9,11.4,2.11,1.95,20.2,15.7,6.61,5.55,0.08,0.05,449.1,2.11,7.32
Aston Villa,28,38,468.3,422.2,44.7,15.3,2.5,1.53,15.9,13.1,6.05,3.89,0.63,0.03,386.9,1.45,9.11
Bournemouth,29,38,444.7,398.3,44.6,11.3,1.55,2.05,21.9,18.1,6,4.37,0.47,0.11,341.5,1.84,8.26
Brentford,28,38,450,406.7,41.7,10.2,1.82,1.87,17.7,15.8,4.58,3.66,0.05,0,351.5,1.66,7.58
Brighton,32,38,504.9,461.2,42.5,12.7,2.03,2,18.5,15.9,4.95,2.82,1.26,0.18,416.3,1.21,8.16
Chelsea,29,38,561.1,516.1,43.2,13.6,2.08,2.5,17.4,15.4,6.16,3.18,0.97,0.21,474.6,1.71,8
Crystal Palace,29,38,414.6,370.2,42.5,11.6,1.87,1.55,15.9,16.3,4.5,3.03,0.47,0,312.5,1.95,7.95
Everton,26,38,393.5,348.6,42.8,11.2,0.79,2.18,17.9,17.8,4.05,2.66,0.63,0.29,300.1,2.13,7.76
Fulham,26,38,519.8,475.7,43,11.5,1.13,3.13,23.5,16.7,5.34,2.32,2.29,0.03,426.3,1.13,8.87
Ipswich Town,32,38,388.8,345.9,41.5,11.4,1.16,1.58,13.3,15.1,3.82,2.92,0.47,0.03,303.3,1.37,7.89
Leicester City,32,38,460.2,413.9,44.6,11.8,1.37,1.24,16.3,17.5,3.66,2.26,0.76,0.11,367,1.66,8.39
Liverpool,24,38,572.6,526.3,44.7,11.8,1.82,3.37,19.2,17.9,6.63,3.82,1.89,0.03,481.7,1.58,8.68
Manchester City,30,38,643.2,600.6,41.5,11.8,2.26,2.37,17.3,15.9,6.66,3.34,0.97,0.11,566.6,1.18,8.97
Manchester Utd,31,38,537.2,493.4,42,10.9,2.47,2.82,16.6,17,5.18,2.53,1.18,0.29,443.1,1.82,9.34
Newcastle Utd,24,38,497.3,449.7,45.8,12.7,2.05,2.47,18.6,18.5,5.71,3.11,0.71,0.45,405.7,1.87,9.24
Nott'ham Forest,23,38,378.1,333.1,42.6,11.5,1.55,1.63,16.3,16.2,4.18,1.87,2,0,284.8,2.39,7.42
Southampton,36,38,488.4,446.8,40.3,12.3,1.13,1.58,14.4,13,4,2.68,0.87,0,408.7,1.29,7.16
Tottenham,31,38,525.3,474,49.6,14.8,1.42,1.84,19.8,18.6,6.39,2.84,1.74,0,434.6,1.66,11.5
West Ham,27,38,483.2,438.9,42.4,11.5,1.39,3.5,16.1,16.1,4,2.16,1.5,0.03,390,1.92,9.03
Wolves,32,38,470.6,424.6,44.4,13,1.45,3.21,14.9,18.3,3.87,2.58,0.82,0.08,380.8,1.63,8.63
