Squad,# Pl,90s,total_Cmp,total_Att,total_Cmp%,TotDist,PrgDist,short_Cmp,short_Att,short_Cmp%,mid_Cmp,mid_Att,mid_Cmp%,long_Cmp,long_Att,long_Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Arsenal,25,38,449.1,532.7,84.3,7337.1,2290.9,226.1,246.4,91.8,187.6,210.5,89.1,27.1,53.2,51,1.45,1.19,1.2,0.26,11.3,36.8,11.5,1.97,48.1
Aston Villa,28,38,386.9,468.3,82.6,6648.3,2320.6,178.4,197.6,90.3,172.5,194.4,88.7,28.6,54.3,52.7,1.18,1.1,0.97,0.09,9.42,29.9,8.39,1.47,35.4
Bournemouth,29,38,341.5,444.7,76.8,6156.7,2283.3,148.6,171.4,86.7,148.9,175.5,84.8,35.9,74.2,48.4,1.08,1.15,0.96,-0.07,11.5,32.7,8.92,2.79,39.2
Brentford,28,38,351.5,450,78.1,6461.6,2454.3,153.9,177.3,86.8,153.3,180.9,84.7,38.1,72.1,52.9,1.16,1.12,1,0.04,8.68,29.1,8.55,2.39,35.7
Brighton,32,38,416.3,504.9,82.4,7076.7,2394.3,200.8,222.2,90.4,172.1,196.6,87.5,34.6,63.1,54.8,1.08,1.06,1.03,0.02,9.92,31.3,8.92,2.29,40.5
Chelsea,29,38,474.6,561.1,84.6,8188.6,2587.9,212.3,231.6,91.6,216.9,240,90.4,36,67,53.7,1.24,1.39,1.1,-0.15,12,39.2,9.11,1.92,42
Crystal Palace,29,38,312.5,414.6,75.4,5612,2111.5,136.8,159.9,85.5,139.1,166.2,83.7,29.9,67,44.7,1,1.22,0.96,-0.22,9.97,23.3,7.16,1.82,30.5
Everton,26,38,300.1,393.5,76.3,5658.6,2237.2,132.6,152.9,86.7,121.2,143.4,84.5,40.2,76.3,52.6,0.71,0.85,0.72,-0.14,7.84,26.4,6.87,2.42,27.4
Fulham,26,38,426.3,519.8,82,7618.6,2569.3,189.3,210.7,89.9,190.1,215.7,88.1,39.6,71.1,55.6,1.16,0.99,0.92,0.17,10.5,35.4,9.03,2.84,41
Ipswich Town,32,38,303.3,388.8,78,5390.3,2050.3,135.7,153.6,88.4,134.6,157.6,85.4,26.9,57.5,46.7,0.68,0.64,0.56,0.05,7.45,22.8,4.55,1.42,24.6
Leicester City,32,38,367,460.2,79.7,6158.3,2210.4,176.4,196.9,89.6,152.6,175.4,87,28.2,62.4,45.3,0.66,0.66,0.63,0,6.63,25.1,5.68,1.76,28.5
Liverpool,24,38,481.7,572.6,84.1,8219.6,2760.2,226.7,246.9,91.8,207.7,234.3,88.6,37.2,67.1,55.4,1.71,1.62,1.43,0.09,13.4,41.7,11.3,2.18,50.6
Manchester City,30,38,566.6,643.2,88.1,9210.1,2602.7,291.3,313.8,92.9,233.8,255.5,91.5,33.7,53.7,62.8,1.34,1.43,1.42,-0.08,12.4,44.3,11.6,1.63,51.2
Manchester Utd,31,38,443.1,537.2,82.5,7319.8,2360.7,216.7,240.1,90.2,180.4,204.4,88.2,33.1,64.2,51.6,0.76,1.04,0.94,-0.28,10.7,30,8.82,1.92,38.1
Newcastle Utd,24,38,405.7,497.3,81.6,6854.3,2395.6,195.2,218,89.5,170.4,194,87.8,31.4,60.9,51.6,1.32,1.21,1.11,0.11,10.5,30.2,10.5,1.84,42
Nott'ham Forest,23,38,284.8,378.1,75.3,4890.3,1971,140.1,160.4,87.3,107,131.9,81.1,27.3,61.6,44.4,1.11,0.87,0.79,0.24,8.76,25.6,6.34,1.68,29.6
Southampton,36,38,408.7,488.4,83.7,6935.9,2235.9,191.6,210.4,91,176.3,196.2,89.9,30.9,59.8,51.7,0.42,0.65,0.63,-0.23,7.08,26,5.74,1.58,29.7
Tottenham,31,38,434.6,525.3,82.7,7243.4,2447.5,199.4,222.1,89.8,194,218.1,88.9,29,54.8,52.8,1.24,1.17,0.96,0.07,9.87,33,9.71,2.18,41.9
West Ham,27,38,390,483.2,80.7,6806.7,2388,183.9,206.1,89.2,164.3,188.2,87.3,35.4,67.9,52.2,0.76,0.89,0.84,-0.13,8.71,28.3,7.03,1.89,32.2
Wolves,32,38,380.8,470.6,80.9,6476.3,2206.5,180.4,200.3,90.1,155.5,176.6,88,32.9,65.9,50,1.11,0.93,0.7,0.17,8.5,26.6,7.26,1.89,31.2
