Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np_G-xG
Arsenal,25,38,1.76,14.3,4.68,32.7,14.32,4.68,0.12,0.37,15.1,0.26,0.05,0.05,1.58,1.54,0.11,0.19,0.17
Aston Villa,28,38,1.47,12.6,4.18,33.3,12.58,4.18,0.11,0.33,16.3,0.32,0.08,0.16,1.48,1.35,0.11,0,0.04
Bournemouth,29,38,1.5,15.1,5.05,33.4,15.11,5.05,0.09,0.27,16.7,0.26,0.16,0.18,1.68,1.54,0.1,-0.18,-0.2
Brentford,28,38,1.71,11.4,4.55,39.9,11.42,4.55,0.14,0.35,14.9,0.26,0.13,0.16,1.55,1.43,0.13,0.16,0.15
Brighton,32,38,1.68,13.8,4.82,34.8,13.84,4.82,0.11,0.31,17.2,0.66,0.18,0.18,1.54,1.4,0.1,0.14,0.1
Chelsea,29,38,1.61,15.5,5.34,34.4,15.53,5.34,0.1,0.28,16.7,0.45,0.11,0.13,1.78,1.68,0.11,-0.18,-0.18
Crystal Palace,29,38,1.29,13.5,4.61,34.2,13.47,4.61,0.09,0.26,16.8,0.5,0.08,0.11,1.59,1.51,0.11,-0.3,-0.3
Everton,26,38,1.03,10.6,3.66,34.4,10.63,3.66,0.09,0.27,16.8,0.29,0.05,0.05,1.1,1.06,0.1,-0.07,-0.08
Fulham,26,38,1.39,13.6,4.39,32.4,13.58,4.39,0.1,0.3,16.4,0.26,0.08,0.11,1.29,1.21,0.09,0.11,0.11
Ipswich Town,32,38,0.92,9.84,3.16,32.1,9.84,3.16,0.09,0.28,17.7,0.26,0.05,0.05,0.91,0.86,0.09,0.02,0.01
Leicester City,32,38,0.87,8.74,2.76,31.6,8.74,2.76,0.09,0.3,17.3,0.21,0.05,0.08,0.86,0.8,0.09,0.01,0.02
Liverpool,24,38,2.24,16.8,5.66,33.6,16.82,5.66,0.12,0.35,15.9,0.29,0.24,0.24,2.16,1.98,0.12,0.07,0.02
Manchester City,30,38,1.87,15.9,5.47,34.5,15.87,5.47,0.11,0.33,16.9,0.55,0.08,0.11,1.79,1.71,0.11,0.08,0.08
Manchester Utd,31,38,1.11,13.8,4.42,32.1,13.79,4.42,0.07,0.23,17.4,0.39,0.11,0.11,1.38,1.3,0.1,-0.28,-0.3
Newcastle Utd,24,38,1.74,13.7,4.29,31.4,13.66,4.29,0.12,0.37,15.9,0.37,0.13,0.16,1.68,1.57,0.12,0.06,0.04
Nott'ham Forest,23,38,1.5,12.1,4.26,35.2,12.11,4.26,0.12,0.33,17.5,0.39,0.08,0.08,1.2,1.14,0.1,0.3,0.28
Southampton,36,38,0.66,8.97,2.79,31.1,8.97,2.79,0.07,0.24,16.3,0.18,0,0.05,0.86,0.81,0.09,-0.2,-0.16
Tottenham,31,38,1.61,13,4.66,35.9,12.97,4.66,0.12,0.33,16,0.34,0.08,0.11,1.55,1.47,0.12,0.06,0.06
West Ham,27,38,1.13,12.4,3.61,29,12.45,3.61,0.08,0.29,16.3,0.37,0.08,0.08,1.24,1.18,0.1,-0.11,-0.12
Wolves,32,38,1.39,11.3,4.08,36,11.34,4.08,0.12,0.34,18.1,0.47,0,0,1.15,1.15,0.1,0.24,0.24
