Common_Name,FBref_Name,TM_Name,Manager
Arsenal,Arsenal,Arsenal FC,Mikel Arteta
Aston Villa,Aston Villa,Aston Villa,Unai Emery
Bournemouth,Bournemouth,AFC Bournemouth,Andoni Iraola
Brentford,Brentford,Brentford FC,Thomas Frank
Brighton,Brighton,Brighton & Hove Albion,Fabian Hürzeler
Southampton,Southampton,Southampton FC,Russell Martin/Ivan Juric
Chelsea,Chelsea,Chelsea FC,Enzo Maresca
Crystal Palace,Crystal Palace,Crystal Palace,Oliver Glasner
Everton,Everton,Everton FC,Sean Dyche/David Moyes
Fulham,Fulham,Fulham FC,Marco Silva
Liverpool,Liverpool,Liverpool FC,Arne Slot
Leicester,Leicester City,Leicester City,Steve Cooper/Ruud van Nistelrooy
Man City,Manchester City,Manchester City,Pep Guardiola
Man Utd,Manchester Utd,Manchester United,Erik ten Hag/Rúben Amorim
Newcastle,Newcastle Utd,Newcastle United,Eddie Howe
Nottm Forest,Nott'ham Forest,Nottingham Forest,Nuno Espírito Santo
Ipswich,Ipswich Town,Ipswich Town,Kieran McKenna
Tottenham,Tottenham,Tottenham Hotspur,Ange Postecoglou
West Ham,West Ham,West Ham United,Julen Lopetegui/Graham Potter
Wolves,Wolves,Wolverhampton Wanderers,Gary O'Neil/Vítor Pereira
