Club,Manager,Appointed,Matches,Days_In_Charge,PPG
Arsenal,Mikel Arteta,22/12/2019,319,2211,2.01
Arsenal,Unai Emery,01/07/2018,78,516,1.85
Aston Villa,Unai Emery,01/11/2022,168,1166,1.86
Aston Villa,Steven Gerrard,11/11/2021,40,343,1.18
Aston Villa,Dean Smith,10/10/2018,138,1124,1.41
Aston Villa,Steve Bruce,12/10/2016,102,721,1.6
Aston Villa,Roberto Di Matteo,01/07/2016,12,94,0.83
Aston Villa,Rémi Garde,03/11/2015,23,147,0.7
Aston Villa,Tim Sherwood,16/02/2015,28,251,1.14
Aston Villa,Paul Lambert,02/06/2012,115,984,1.11
Aston Villa,Alex McLeish,17/06/2011,42,332,1.05
Aston Villa,Gérard Houllier,09/09/2010,40,265,1.33
Aston Villa,Martin O'Neill,04/08/2006,190,1466,1.59
Aston Villa,David O'Leary,20/05/2003,131,1157,1.34
Aston Villa,Graham Taylor,05/02/2002,57,510,1.16
Bournemouth,Andoni Iraola,01/07/2023,109,924,1.39
Bournemouth,Gary O'Neil,28/11/2022,25,203,0.92
Bournemouth,Gary O'Neil,30/08/2022,12,89,1.33
Bournemouth,Scott Parker,01/07/2021,55,425,1.82
Bournemouth,Jonathan Woodgate,04/02/2021,23,146,1.78
Bournemouth,Jason Tindall,08/08/2020,31,179,1.65
Bournemouth,Eddie Howe,14/10/2012,355,2848,1.43
Bournemouth,Paul Groves,25/03/2012,20,192,0.9
Bournemouth,Lee Bradbury,16/01/2011,69,434,1.32
Bournemouth,Eddie Howe,31/12/2008,102,745,1.67
Bournemouth,Jimmy Quinn,02/09/2008,25,119,1.28
Bournemouth,Kevin Bond,12/10/2006,95,690,1.16
Bournemouth,Sean O'Driscoll,19/08/2000,268,2211,1.32
Brentford,Keith Andrews,01/07/2025,25,193,1.68
Brentford,Thomas Frank,16/10/2018,317,2449,1.51
Brentford,Dean Smith,01/12/2015,143,1043,1.44
Brentford,Lee Carsley,28/09/2015,10,63,1.7
Brentford,Mark Warburton,10/12/2013,78,551,1.77
Brentford,Uwe Rösler,10/06/2011,136,911,1.64
Brentford,Nicky Forster,02/03/2011,15,120,1.2
Brentford,Andy Scott,11/12/2007,168,1149,1.52
Brentford,Terry Butcher,24/04/2007,25,231,0.92
Brentford,Scott Fitzgerald,18/11/2006,24,143,0.71
Brentford,Leroy Rosenior,14/06/2006,23,157,1.0
Brentford,Martin Allen,18/03/2004,120,803,1.59
Brentford,Wally Downes,28/06/2002,89,625,1.09
Brentford,Steve Coppell,08/05/2001,48,393,1.79
Brentford,Ray Lewington,20/11/2000,33,168,1.3
Brighton,Fabian Hürzeler,01/07/2024,69,558,1.61
Brighton,Roberto De Zerbi,18/09/2022,89,651,1.51
Brighton,Graham Potter,20/05/2019,134,1206,1.28
Brighton,Chris Hughton,31/12/2014,215,1594,1.5
