Manager,Age,Avg_Tenure_Years,Coaching_Licence,Agent,Contract_Until,Total_Matches,Career_PPG,Trophies_Total,Trophies_JSON
Andoni Iraola,43,1.77,,IDUB GLOBAL,30/06/2026,323,1.45,1,"[{'name': 'Cypriot Super Cup Winner', 'count': 1, 'wins': [{'season': '18/19', 'club': 'AEK Larnaca'}]}]"
Ange Postecoglou,60,2.54,UEFA Pro Licence,CAA Base Ltd,,574,1.73,16,"[{'name': 'Asian Cup winner', 'count': 1, 'wins': [{'season': '14/15', 'club': 'Australia'}]}, {'name': 'Europa League winner', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Tottenham Hotspur'}]}, {'name': 'Scottish champion', 'count': 2, 'wins': [{'season': '22/23', 'club': 'Celtic FC'}, {'season': '21/22', 'club': 'Celtic FC'}]}, {'name': 'Scottish cup winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Celtic FC'}]}, {'name': 'Scottish league cup winner', 'count': 2, 'wins': [{'season': '22/23', 'club': 'Celtic FC'}, {'season': '21/22', 'club': 'Celtic FC'}]}, {'name': 'Australian champion', 'count': 4, 'wins': [{'season': '11/12', 'club': 'Brisbane Roar'}, {'season': '10/11', 'club': 'Brisbane Roar'}, {'season': '98/99', 'club': 'South Melbourne FC'}, {'season': '97/98', 'club': 'South Melbourne FC'}]}, {'name': 'Japanese champion', 'count': 1, 'wins': [{'season': '18/19', 'club': 'Yokohama F. Marinos'}]}, {'name': 'OFC Champions League winner', 'count': 1, 'wins': [{'season': '98/99', 'club': 'South Melbourne FC'}]}, {'name': 'OFC-U16/U17-Championship-Winner', 'count': 3, 'wins': [{'season': '04/05', 'club': 'Australia U17'}, {'season': '02/03', 'club': 'Australia U17'}, {'season': '00/01', 'club': 'Australia U17'}]}]"
Arne Slot,47,1.53,UEFA Pro Licence,Rafaela Pimenta,30/06/2027,292,2.07,3,"[{'name': 'English Champion', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Liverpool FC'}]}, {'name': 'Dutch champion', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Feyenoord Rotterdam'}]}, {'name': 'Dutch Cup winner', 'count': 1, 'wins': [{'season': '23/24', 'club': 'Feyenoord Rotterdam'}]}]"
Chris Wilder,58,2.43,UEFA Pro Licence,Wasserman,30/06/2027,890,1.55,0,[]
David Moyes,62,3.02,UEFA Pro Licence,,,1176,1.53,3,"[{'name': 'Conference League winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'West Ham United'}]}, {'name': 'English Super Cup winner', 'count': 1, 'wins': [{'season': '13/14', 'club': 'Manchester United'}]}, {'name': 'English 3rd tier champion', 'count': 1, 'wins': [{'season': '99/00', 'club': 'Preston North End'}]}]"
Eddie Howe,48,3.94,,Wasserman,,746,1.55,2,"[{'name': 'English League Cup winner', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Newcastle United'}]}, {'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '14/15', 'club': 'AFC Bournemouth'}]}]"
Enzo Maresca,45,0.93,UEFA Pro Licence,Gestifute,,159,1.95,3,"[{'name': 'Conference League winner', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Chelsea FC'}]}, {'name': 'FIFA Club World Cup winner', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Chelsea FC'}]}, {'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '23/24', 'club': 'Leicester City'}]}]"
Erik ten Hag,55,2.06,UEFA Pro Licence,SEG,,568,2.04,9,"[{'name': 'English FA Cup winner', 'count': 1, 'wins': [{'season': '23/24', 'club': 'Manchester United'}]}, {'name': 'English League Cup winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Manchester United'}]}, {'name': 'Dutch champion', 'count': 3, 'wins': [{'season': '21/22', 'club': 'Ajax Amsterdam'}, {'season': '20/21', 'club': 'Ajax Amsterdam'}, {'season': '18/19', 'club': 'Ajax Amsterdam'}]}, {'name': 'Dutch Cup winner', 'count': 2, 'wins': [{'season': '20/21', 'club': 'Ajax Amsterdam'}, {'season': '18/19', 'club': 'Ajax Amsterdam'}]}, {'name': 'Dutch Super Cup winner', 'count': 1, 'wins': [{'season': '19/20', 'club': 'Ajax Amsterdam'}]}, {'name': 'German Regionalliga Bavaria Champion', 'count': 1, 'wins': [{'season': '13/14', 'club': 'FC Bayern Munich II'}]}]"
Fabian Hürzeler,32,1.03,UEFA Pro Licence,ROOF,30/06/2027,124,1.85,1,"[{'name': 'German second tier champion', 'count': 1, 'wins': [{'season': '23/24', 'club': 'FC St. Pauli'}]}]"
Gary O'Neil,42,0.54,UEFA Pro Licence,Wasserman,30/06/2029,88,1.07,0,[]
Graham Potter,50,2.19,UEFA Pro Licence,Wasserman,,467,1.49,1,"[{'name': 'Swedish cup winner', 'count': 1, 'wins': [{'season': '16/17', 'club': 'Östersunds FK'}]}]"
Ivan Juric,50,0.91,UEFA Pro Licence,,,384,1.3,0,[]
Julen Lopetegui,59,1.55,UEFA Pro Licence,CAA Base Ltd,30/06/2027,392,1.83,3,"[{'name': 'Europa League winner', 'count': 1, 'wins': [{'season': '19/20', 'club': 'Sevilla FC'}]}, {'name': 'European Under-21 champion', 'count': 1, 'wins': [{'season': '12/13', 'club': 'Spain U21'}]}, {'name': 'European Under-19 champion', 'count': 1, 'wins': [{'season': '11/12', 'club': 'Spain U19'}]}]"
Jürgen Klopp,58,6.02,UEFA Pro Licence,projectFIVE GmbH,31/12/2029,1078,1.88,15,"[{'name': ""World's Best Club Coach"", 'count': 1, 'wins': [{'season': '18/19', 'club': 'Liverpool FC'}]}, {'name': 'VDV-Coach of the season', 'count': 1, 'wins': [{'season': '10/11', 'club': 'Borussia Dortmund'}]}, {'name': 'Champions League winner', 'count': 1, 'wins': [{'season': '18/19', 'club': 'Liverpool FC'}]}, {'name': 'German Champion', 'count': 2, 'wins': [{'season': '11/12', 'club': 'Borussia Dortmund'}, {'season': '10/11', 'club': 'Borussia Dortmund'}]}, {'name': 'English Champion', 'count': 1, 'wins': [{'season': '19/20', 'club': 'Liverpool FC'}]}, {'name': 'Uefa Supercup winner', 'count': 1, 'wins': [{'season': '19/20', 'club': 'Liverpool FC'}]}, {'name': 'German cup winner', 'count': 1, 'wins': [{'season': '11/12', 'club': 'Borussia Dortmund'}]}, {'name': 'FIFA Club World Cup winner', 'count': 1, 'wins': [{'season': '19/20', 'club': 'Liverpool FC'}]}, {'name': 'English FA Cup winner', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Liverpool FC'}]}, {'name': 'German Super Cup winner', 'count': 2, 'wins': [{'season': '14/15', 'club': 'Borussia Dortmund'}, {'season': '13/14', 'club': 'Borussia Dortmund'}]}, {'name': 'English League Cup winner', 'count': 2, 'wins': [{'season': '23/24', 'club': 'Liverpool FC'}, {'season': '21/22', 'club': 'Liverpool FC'}]}, {'name': 'English Super Cup winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Liverpool FC'}]}]"
Kieran McKenna,39,2.63,UEFA Pro Licence,CAA Base Ltd,30/06/2028,199,1.68,0,[]
Marco Silva,48,1.66,UEFA Pro Licence,Gestifute,30/06/2026,534,1.66,4,"[{'name': 'Portuguese cup winner', 'count': 1, 'wins': [{'season': '14/15', 'club': 'Sporting CP'}]}, {'name': 'Greek champion', 'count': 1, 'wins': [{'season': '15/16', 'club': 'Olympiacos Piraeus'}]}, {'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Fulham FC'}]}, {'name': 'Champion 2nd League Portugal', 'count': 1, 'wins': [{'season': '11/12', 'club': 'GD Estoril Praia'}]}]"
Mauricio Pochettino,53,2.42,Licence trainer,no agent,31/07/2026,671,1.69,3,"[{'name': 'French champion', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Paris Saint-Germain'}]}, {'name': 'French cup winner', 'count': 1, 'wins': [{'season': '20/21', 'club': 'Paris Saint-Germain'}]}, {'name': 'French Super Cup winner', 'count': 1, 'wins': [{'season': '20/21', 'club': 'Paris Saint-Germain'}]}]"
Mikel Arteta,43,6.06,UEFA Pro Licence,Wasserman,30/06/2027,319,2.01,7,"[{'name': 'English Champion', 'count': 2, 'wins': [{'season': '18/19', 'club': 'Manchester City'}, {'season': '17/18', 'club': 'Manchester City'}]}, {'name': 'English FA Cup winner', 'count': 2, 'wins': [{'season': '19/20', 'club': 'Arsenal FC'}, {'season': '18/19', 'club': 'Manchester City'}]}, {'name': 'English Super Cup winner', 'count': 3, 'wins': [{'season': '23/24', 'club': 'Arsenal FC'}, {'season': '20/21', 'club': 'Arsenal FC'}, {'season': '18/19', 'club': 'Manchester City'}]}]"
Nuno Espírito Santo,51,1.51,UEFA Pro Licence,Gestifute,30/06/2028,547,1.68,3,"[{'name': 'Saudi Arabian champion', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Al-Ittihad Club'}]}, {'name': 'Saudi Super Cup Winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Al-Ittihad Club'}]}, {'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '17/18', 'club': 'Wolverhampton Wanderers'}]}]"
Oliver Glasner,51,1.81,UEFA Pro Licence,,30/06/2026,477,1.7,4,"[{'name': 'Europa League winner', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Eintracht Frankfurt'}]}, {'name': 'English FA Cup winner', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Crystal Palace'}]}, {'name': 'English Super Cup winner', 'count': 1, 'wins': [{'season': '25/26', 'club': 'Crystal Palace'}]}, {'name': 'Austrian Second League Champion', 'count': 1, 'wins': [{'season': '16/17', 'club': 'LASK'}]}]"
Paul Heckingbottom,48,1.15,UEFA Pro Licence,CAA Base Ltd,,331,1.43,1,"[{'name': 'Football League Trophy Winner', 'count': 1, 'wins': [{'season': '15/16', 'club': 'Barnsley FC'}]}]"
Pep Guardiola,54,4.38,UEFA Pro Licence,SEG,30/06/2027,971,2.32,42,"[{'name': ""World's Best Club Coach"", 'count': 3, 'wins': [{'season': '22/23', 'club': 'Manchester City'}, {'season': '2010', 'club': 'FC Barcelona'}, {'season': '2008', 'club': 'FC Barcelona'}]}, {'name': 'Champions League winner', 'count': 3, 'wins': [{'season': '22/23', 'club': 'Manchester City'}, {'season': '10/11', 'club': 'FC Barcelona'}, {'season': '08/09', 'club': 'FC Barcelona'}]}, {'name': 'German Champion', 'count': 3, 'wins': [{'season': '15/16', 'club': 'Bayern Munich'}, {'season': '14/15', 'club': 'Bayern Munich'}, {'season': '13/14', 'club': 'Bayern Munich'}]}, {'name': 'English Champion', 'count': 6, 'wins': [{'season': '23/24', 'club': 'Manchester City'}, {'season': '22/23', 'club': 'Manchester City'}, {'season': '21/22', 'club': 'Manchester City'}, {'season': '20/21', 'club': 'Manchester City'}, {'season': '18/19', 'club': 'Manchester City'}, {'season': '17/18', 'club': 'Manchester City'}]}, {'name': 'Spanish champion', 'count': 3, 'wins': [{'season': '10/11', 'club': 'FC Barcelona'}, {'season': '09/10', 'club': 'FC Barcelona'}, {'season': '08/09', 'club': 'FC Barcelona'}]}, {'name': 'Uefa Supercup winner', 'count': 4, 'wins': [{'season': '23/24', 'club': 'Manchester City'}, {'season': '13/14', 'club': 'Bayern Munich'}, {'season': '11/12', 'club': 'FC Barcelona'}, {'season': '09/10', 'club': 'FC Barcelona'}]}, {'name': 'German cup winner', 'count': 2, 'wins': [{'season': '15/16', 'club': 'Bayern Munich'}, {'season': '13/14', 'club': 'Bayern Munich'}]}, {'name': 'FIFA Club World Cup winner', 'count': 4, 'wins': [{'season': '23/24', 'club': 'Manchester City'}, {'season': '13/14', 'club': 'Bayern Munich'}, {'season': '11/12', 'club': 'FC Barcelona'}, {'season': '09/10', 'club': 'FC Barcelona'}]}, {'name': 'English FA Cup winner', 'count': 2, 'wins': [{'season': '22/23', 'club': 'Manchester City'}, {'season': '18/19', 'club': 'Manchester City'}]}, {'name': 'Spanish cup winner', 'count': 2, 'wins': [{'season': '11/12', 'club': 'FC Barcelona'}, {'season': '08/09', 'club': 'FC Barcelona'}]}, {'name': 'Spanish Super Cup winner', 'count': 3, 'wins': [{'season': '11/12', 'club': 'FC Barcelona'}, {'season': '10/11', 'club': 'FC Barcelona'}, {'season': '09/10', 'club': 'FC Barcelona'}]}, {'name': 'English League Cup winner', 'count': 4, 'wins': [{'season': '20/21', 'club': 'Manchester City'}, {'season': '19/20', 'club': 'Manchester City'}, {'season': '18/19', 'club': 'Manchester City'}, {'season': '17/18', 'club': 'Manchester City'}]}, {'name': 'English Super Cup winner', 'count': 3, 'wins': [{'season': '24/25', 'club': 'Manchester City'}, {'season': '19/20', 'club': 'Manchester City'}, {'season': '18/19', 'club': 'Manchester City'}]}]"
Rob Edwards,52,2.25,,,,20,0.7,0,[]
Roberto De Zerbi,46,1.37,UEFA Pro Licence,Excellence Sport,30/06/2027,454,1.52,1,"[{'name': 'Ukrainian Super Cup winner', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Shakhtar Donetsk'}]}]"
Roy Hodgson,78,1.76,UEFA Pro Licence,,,955,1.47,8,"[{'name': 'Swiss Super Cup Winner', 'count': 1, 'wins': [{'season': '89/90', 'club': 'Neuchâtel Xamax'}]}, {'name': 'Danish champion', 'count': 1, 'wins': [{'season': '00/01', 'club': 'FC Copenhagen'}]}, {'name': 'Swedish champion', 'count': 4, 'wins': [{'season': '87/88', 'club': 'Malmö FF'}, {'season': '85/86', 'club': 'Malmö FF'}, {'season': '78/79', 'club': 'Halmstads BK'}, {'season': '75/76', 'club': 'Halmstads BK'}]}, {'name': 'Swedish cup winner', 'count': 2, 'wins': [{'season': '88/89', 'club': 'Malmö FF'}, {'season': '85/86', 'club': 'Malmö FF'}]}]"
Russell Martin,40,1.36,,,,269,1.41,0,[]
Ruud van Nistelrooy,49,1.21,UEFA Pro Licence,SP The Agency,,83,1.6,2,"[{'name': 'Dutch Cup winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'PSV Eindhoven'}]}, {'name': 'Dutch Super Cup winner', 'count': 1, 'wins': [{'season': '22/23', 'club': 'PSV Eindhoven'}]}]"
Rúben Amorim,40,1.36,UEFA Pro Licence,AS1,,309,2.11,6,"[{'name': 'Portuguese champion', 'count': 2, 'wins': [{'season': '23/24', 'club': 'Sporting CP'}, {'season': '20/21', 'club': 'Sporting CP'}]}, {'name': 'Portuguese league cup winner', 'count': 3, 'wins': [{'season': '21/22', 'club': 'Sporting CP'}, {'season': '20/21', 'club': 'Sporting CP'}, {'season': '19/20', 'club': 'SC Braga'}]}, {'name': 'Portuguese Super Cup winner', 'count': 1, 'wins': [{'season': '21/22', 'club': 'Sporting CP'}]}]"
Sean Dyche,54,2.93,,,30/06/2027,575,1.33,1,"[{'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '15/16', 'club': 'Burnley FC'}]}]"
Steve Cooper,46,1.66,UEFA Pro Licence,Wasserman,30/06/2028,319,1.67,1,"[{'name': 'Under-17 World Cup champion', 'count': 1, 'wins': [{'season': '16/17', 'club': 'England U17'}]}]"
Thomas Frank,52,2.35,UEFA Pro Licence,Elite Consulting,30/06/2028,463,1.54,0,[]
Unai Emery,54,2.25,UEFA Pro Licence,Gestifute,30/06/2029,1048,1.82,11,"[{'name': 'French champion', 'count': 1, 'wins': [{'season': '17/18', 'club': 'Paris Saint-Germain'}]}, {'name': 'Europa League winner', 'count': 4, 'wins': [{'season': '20/21', 'club': 'Villarreal CF'}, {'season': '15/16', 'club': 'Sevilla FC'}, {'season': '14/15', 'club': 'Sevilla FC'}, {'season': '13/14', 'club': 'Sevilla FC'}]}, {'name': 'French cup winner', 'count': 2, 'wins': [{'season': '17/18', 'club': 'Paris Saint-Germain'}, {'season': '16/17', 'club': 'Paris Saint-Germain'}]}, {'name': 'French league cup winner', 'count': 2, 'wins': [{'season': '17/18', 'club': 'Paris Saint-Germain'}, {'season': '16/17', 'club': 'Paris Saint-Germain'}]}, {'name': 'French Super Cup winner', 'count': 2, 'wins': [{'season': '17/18', 'club': 'Paris Saint-Germain'}, {'season': '16/17', 'club': 'Paris Saint-Germain'}]}]"
Vincent Kompany,39,1.8,UEFA Pro Licence,,30/06/2029,267,1.84,3,"[{'name': 'German Champion', 'count': 1, 'wins': [{'season': '24/25', 'club': 'Bayern Munich'}]}, {'name': 'German Super Cup winner', 'count': 1, 'wins': [{'season': '25/26', 'club': 'Bayern Munich'}]}, {'name': 'English 2nd tier champion', 'count': 1, 'wins': [{'season': '22/23', 'club': 'Burnley FC'}]}]"
Vítor Pereira,55,0.69,UEFA Pro Licence,,,80,1.27,0,[]
